crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	42.514534	2669	0.000000
281474976710655.000000	39.730293	2670	0.000000
281474976710655.000000	32.808334	2671	0.000000
281474976710655.000000	46.660435	2672	0.000000
281474976710655.000000	33.760765	2673	0.000000
281474976710655.000000	47.494499	2674	0.000000
281474976710655.000000	38.992550	2675	0.000000
281474976710655.000000	35.575760	2676	0.000000
281474976710655.000000	35.189308	2677	0.000000
281474976710655.000000	43.187965	2678	0.000000
281474976710655.000000	43.826721	2679	0.000000
281474976710655.000000	43.014919	2680	0.000000
281474976710655.000000	41.190407	2681	0.000000
281474976710655.000000	34.989277	2682	0.000000
281474976710655.000000	34.284264	2683	0.000000
281474976710655.000000	51.801556	2684	0.000000
281474976710655.000000	31.465174	2685	0.000000
281474976710655.000000	54.841618	2686	0.000000
281474976710655.000000	35.736534	2687	0.000000
281474976710655.000000	42.554214	2688	0.000000
281474976710655.000000	42.501709	2689	0.000000
281474976710655.000000	36.535782	2690	0.000000
281474976710655.000000	35.085777	2691	0.000000
281474976710655.000000	43.411274	2692	0.000000
281474976710655.000000	34.629524	2693	0.000000
281474976710655.000000	44.317616	2694	0.000000
281474976710655.000000	33.741291	2695	0.000000
281474976710655.000000	32.678764	2696	0.000000
281474976710655.000000	39.822617	2697	0.000000
281474976710655.000000	36.384628	2698	0.000000
281474976710655.000000	33.575710	2699	0.000000
281474976710655.000000	34.407894	2700	0.000000
281474976710655.000000	42.178135	2701	0.000000
281474976710655.000000	30.403927	2702	0.000000
281474976710655.000000	35.479717	2703	0.000000
281474976710655.000000	38.865807	2704	0.000000
281474976710655.000000	39.077988	2705	0.000000
281474976710655.000000	38.461777	2706	0.000000
281474976710655.000000	39.013027	2707	0.000000
281474976710655.000000	30.560118	2708	0.000000
281474976710655.000000	46.015251	2709	0.000000
281474976710655.000000	35.529263	2710	0.000000
281474976710655.000000	41.462540	2711	0.000000
281474976710655.000000	35.271168	2712	0.000000
281474976710655.000000	37.796932	2713	0.000000
281474976710655.000000	29.307436	2714	0.000000
281474976710655.000000	38.851608	2715	0.000000
281474976710655.000000	31.480854	2716	0.000000
281474976710655.000000	32.029171	2717	0.000000
281474976710655.000000	36.974236	2718	0.000000
281474976710655.000000	29.395777	2719	0.000000
281474976710655.000000	37.584145	2720	0.000000
281474976710655.000000	36.929016	2721	0.000000
281474976710655.000000	39.430836	2722	0.000000
281474976710655.000000	30.669991	2723	0.000000
281474976710655.000000	41.854050	2724	0.000000
281474976710655.000000	45.421501	2725	0.000000
281474976710655.000000	30.779694	2726	0.000000
281474976710655.000000	33.925957	2727	0.000000
281474976710655.000000	47.480026	2728	0.000000
281474976710655.000000	29.997028	2729	0.000000
281474976710655.000000	34.818153	2730	0.000000
281474976710655.000000	30.838329	2731	0.000000
281474976710655.000000	31.417971	2732	0.000000
281474976710655.000000	34.557629	2733	0.000000
281474976710655.000000	31.718090	2734	0.000000
281474976710655.000000	30.120642	2735	0.000000
281474976710655.000000	38.003597	2736	0.000000
281474976710655.000000	41.454967	2737	0.000000
281474976710655.000000	32.150768	2738	0.000000
281474976710655.000000	29.678995	2739	0.000000
281474976710655.000000	30.230350	2740	0.000000
281474976710655.000000	39.058853	2741	0.000000
281474976710655.000000	30.279728	2742	0.000000
281474976710655.000000	32.625038	2743	0.000000
281474976710655.000000	35.781807	2744	0.000000
281474976710655.000000	36.506672	2745	0.000000
281474976710655.000000	31.222441	2746	0.000000
281474976710655.000000	28.752741	2747	0.000000
