num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2621	77893.725532	64.103272	2.970299	0.623052	82.244753
2623	77895.794580	62.955687	2.912034	0.623167	74.187382
2625	77897.861556	61.926471	2.930626	0.622974	75.274141
2627	77899.928784	61.035342	2.851607	0.622724	74.033690
2629	77901.996446	59.902000	2.883043	0.622248	69.379497
2631	77904.065108	58.692387	2.852846	0.623446	68.207393
2633	77906.132934	57.773346	2.817496	0.625129	64.093306
2635	77908.201167	57.007351	2.846934	0.626892	63.310293
2637	77910.268017	56.200557	2.821866	0.626732	63.193516
2639	77912.334562	55.404330	2.790974	0.624352	60.129401
2641	77914.400921	54.521871	2.798473	0.622386	56.887571
2643	77916.466858	53.503561	2.771601	0.622912	54.419820
2645	77918.534983	52.504814	2.784834	0.623184	53.360462
2647	77920.602168	51.543689	2.772042	0.624385	51.344908
2649	77922.670672	50.688462	2.771409	0.626134	50.190190
2651	77924.739235	49.843337	2.753220	0.628481	47.798797
2653	77926.806339	49.261773	2.729644	0.628787	46.504261
2655	77928.873080	48.425091	2.721821	0.627032	46.130730
2657	77930.938656	47.526410	2.718681	0.625937	44.179341
2659	77933.005135	46.714328	2.692004	0.625294	43.786079
2661	77935.071528	45.930264	2.685530	0.626272	41.215097
2663	77937.138190	45.047942	2.672295	0.626684	39.561586
2665	77939.205340	44.449724	2.647927	0.627979	37.424955
2667	77941.272339	43.570808	2.631988	0.626096	37.291163
2669	77943.338571	42.741810	2.602318	0.627218	35.927231
2671	77945.406940	42.220336	2.580535	0.627857	34.427789
2673	77947.474360	41.551015	2.557254	0.627583	33.681055
2675	77949.542169	40.571325	2.527257	0.628470	32.518725
2677	77951.609013	39.972171	2.496805	0.626864	32.413421
2679	77953.675156	39.313289	2.481875	0.626138	29.146353
2681	77955.741386	38.676293	2.466023	0.627368	29.260645
2683	77957.806600	38.107233	2.453924	0.629800	29.331644
2685	77959.872981	37.339768	2.428700	0.633004	27.905531
2687	77961.939619	36.554164	2.398727	0.632033	26.662997
2689	77964.006851	35.868038	2.363162	0.631172	25.966260
2691	77966.074941	35.299999	2.330260	0.628844	24.896043
2693	77968.144528	34.729506	2.306321	0.627787	24.016624
2695	77970.210715	34.152027	2.284518	0.628213	23.540684
2697	77972.277392	33.413218	2.253237	0.626980	22.662886
2699	77974.343838	32.933383	2.211199	0.628420	21.985921
2701	77976.409906	32.220240	2.198600	0.627047	21.131228
2703	77978.475536	31.647698	2.168016	0.627160	21.239164
2705	77980.543287	31.137618	2.132265	0.627587	20.041598
2707	77982.608533	30.439567	2.101682	0.627377	19.180289
2709	77984.676970	29.957684	2.077915	0.627282	18.366592
2711	77986.743090	29.274712	2.061776	0.627995	17.308611
2713	77988.809754	28.849378	2.032335	0.629077	17.872932
2715	77990.876898	28.284927	2.001289	0.628503	16.427438
2717	77992.945308	27.889906	1.962958	0.629759	16.161611
2719	77995.010440	27.440345	1.934045	0.628238	16.159293
2721	77997.076512	26.909539	1.897836	0.627862	14.580030
2723	77999.141203	26.453920	1.869149	0.623836	14.178352
2725	78001.205747	25.949898	1.834203	0.626350	13.229142
2727	78003.269649	25.540952	1.812737	0.624574	12.699330
2729	78005.337817	24.896932	1.803677	0.622497	12.901304
2731	78007.404388	24.452614	1.767670	0.625737	11.711912
2733	78009.470473	24.012463	1.746831	0.624478	11.971653
2735	78011.538307	23.545084	1.721493	0.623092	11.560599
2739	78015.673726	22.707435	1.689034	0.627597	10.307177
2741	78017.740097	22.364935	1.677648	0.627465	10.294001
2743	78019.805013	22.012453	1.624954	0.624118	9.802734
2745	78021.872190	21.589444	1.613807	0.625676	9.482613
2747	78023.936926	21.256173	1.583088	0.621837	8.930994
2749	78026.003025	20.885735	1.545918	0.620965	8.977738
2751	78028.069823	20.454198	1.542437	0.618092	8.532823
2753	78030.134996	20.049857	1.503822	0.620404	8.213423
2755	78032.202181	19.638306	1.486341	0.619406	8.229135
2757	78034.268098	19.269660	1.459575	0.615321	7.731512
2759	78036.332365	18.978937	1.414218	0.612075	7.043365
2761	78038.399832	18.702288	1.406593	0.615164	7.218992
2763	78040.463988	18.425734	1.353570	0.610282	6.604300
