num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1327	1681.051968	70.333851	-1.445533	3.703534	47.053938
1329	1683.109861	70.258182	-1.432267	3.704031	52.754166
1331	1685.169877	69.652027	-1.444058	3.701987	51.067080
1333	1687.231073	69.648913	-1.469513	3.701309	51.145499
1335	1689.292780	69.251591	-1.494976	3.701577	48.484048
1337	1691.355110	68.936643	-1.508256	3.697327	46.067834
1339	1693.415533	68.817918	-1.546176	3.695393	47.438361
1341	1695.474933	69.053091	-1.516345	3.692608	48.167289
1343	1697.531044	69.007153	-1.523786	3.694437	46.430319
1345	1699.586247	68.945106	-1.514981	3.701945	46.160835
1347	1701.640508	68.619576	-1.564361	3.706388	46.102750
1349	1703.696648	67.839432	-1.639424	3.708311	46.808594
1351	1705.759479	67.391299	-1.710312	3.705335	45.437650
1353	1707.823964	67.048973	-1.729227	3.699554	44.479018
1355	1709.888071	66.930485	-1.716861	3.694340	45.139968
1357	1711.949452	66.859893	-1.698570	3.691041	46.061358
1359	1714.009281	66.678463	-1.699829	3.691907	43.337015
1361	1716.066709	66.775270	-1.751225	3.692139	41.280741
1363	1718.122777	66.846702	-1.752878	3.695684	42.861748
1365	1720.179894	66.308964	-1.786846	3.698972	44.365514
1367	1722.235971	66.105664	-1.850089	3.698719	44.346213
1369	1724.295116	65.548853	-1.874538	3.695987	43.431504
1371	1726.355042	65.410138	-1.888244	3.694359	43.785140
1373	1728.414721	65.149107	-1.892281	3.694455	43.663698
1375	1730.477154	65.032419	-1.906138	3.694423	42.178547
1377	1732.538953	64.908598	-1.907597	3.695210	40.841376
1379	1734.600599	64.468518	-1.949249	3.697483	42.829188
1381	1736.660765	64.378668	-2.002225	3.697585	41.973618
1383	1738.719243	64.443519	-2.027797	3.699462	41.866809
1385	1740.774844	64.530276	-2.078934	3.694960	40.322395
1387	1742.829166	64.134444	-2.066575	3.688595	40.668206
1389	1744.884171	63.770729	-2.085995	3.682759	39.977299
1391	1746.940919	63.328433	-2.050044	3.683203	40.835370
1393	1749.001140	62.994035	-2.070851	3.683914	39.566842
1395	1751.063968	62.737722	-2.080051	3.684995	40.386416
1397	1753.127800	62.488469	-2.080553	3.686905	39.785642
1399	1755.190721	62.090561	-2.134071	3.689265	39.421410
1401	1757.252159	62.283385	-2.164989	3.689733	38.862528
1403	1759.312276	62.102008	-2.208864	3.689563	37.793372
1405	1761.371748	61.772540	-2.231695	3.688302	38.893841
1407	1763.430483	61.628483	-2.220484	3.686186	38.448554
1409	1765.489073	61.608522	-2.212113	3.684293	37.673914
1411	1767.548622	61.264343	-2.223453	3.682076	38.521566
1413	1769.607748	61.296824	-2.237118	3.680974	37.307592
1415	1771.667727	60.810708	-2.254256	3.679126	36.814667
1417	1773.726023	60.993666	-2.275459	3.676353	36.945063
