crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	37.238865	449	0.000000
281474976710655.000000	43.912102	450	0.000000
281474976710655.000000	44.532948	451	0.000000
281474976710655.000000	58.695686	452	0.000000
281474976710655.000000	44.278809	453	0.000000
281474976710655.000000	52.643166	454	0.000000
281474976710655.000000	45.519234	455	0.000000
281474976710655.000000	36.182987	456	0.000000
281474976710655.000000	38.365185	457	0.000000
281474976710655.000000	46.304298	458	0.000000
281474976710655.000000	43.249146	459	0.000000
281474976710655.000000	44.163002	460	0.000000
281474976710655.000000	36.363415	461	0.000000
281474976710655.000000	42.464409	462	0.000000
281474976710655.000000	53.986465	463	0.000000
281474976710655.000000	35.619640	464	0.000000
281474976710655.000000	33.495155	465	0.000000
281474976710655.000000	56.520325	466	0.000000
281474976710655.000000	43.886932	467	0.000000
281474976710655.000000	50.283260	468	0.000000
281474976710655.000000	37.897434	469	0.000000
281474976710655.000000	48.025280	470	0.000000
281474976710655.000000	37.155212	471	0.000000
281474976710655.000000	47.359234	472	0.000000
281474976710655.000000	60.201225	473	0.000000
281474976710655.000000	37.740120	474	0.000000
281474976710655.000000	38.772446	475	0.000000
281474976710655.000000	36.447308	476	0.000000
281474976710655.000000	33.754101	477	0.000000
281474976710655.000000	42.476677	478	0.000000
281474976710655.000000	48.574627	479	0.000000
281474976710655.000000	33.481255	480	0.000000
281474976710655.000000	42.715149	481	0.000000
281474976710655.000000	39.123695	482	0.000000
281474976710655.000000	34.283871	483	0.000000
281474976710655.000000	42.430279	484	0.000000
281474976710655.000000	33.854706	485	0.000000
281474976710655.000000	41.464977	486	0.000000
281474976710655.000000	34.416229	487	0.000000
281474976710655.000000	40.779430	488	0.000000
281474976710655.000000	41.307407	489	0.000000
281474976710655.000000	39.309200	490	0.000000
281474976710655.000000	30.986765	491	0.000000
281474976710655.000000	33.665871	492	0.000000
281474976710655.000000	29.893713	493	0.000000
281474976710655.000000	44.708263	494	0.000000
281474976710655.000000	36.626354	495	0.000000
281474976710655.000000	42.827435	496	0.000000
281474976710655.000000	40.545486	497	0.000000
281474976710655.000000	36.895451	498	0.000000
281474976710655.000000	51.260815	499	0.000000
281474976710655.000000	32.217907	500	0.000000
281474976710655.000000	40.446190	501	0.000000
281474976710655.000000	51.425396	502	0.000000
281474976710655.000000	37.448769	503	0.000000
281474976710655.000000	33.210617	504	0.000000
281474976710655.000000	34.354389	505	0.000000
281474976710655.000000	44.798882	506	0.000000
281474976710655.000000	37.161076	507	0.000000
281474976710655.000000	41.699181	508	0.000000
281474976710655.000000	29.538290	509	0.000000
281474976710655.000000	35.405468	510	0.000000
281474976710655.000000	44.513115	511	0.000000
281474976710655.000000	36.154053	512	0.000000
281474976710655.000000	38.679848	513	0.000000
281474976710655.000000	44.545380	514	0.000000
281474976710655.000000	30.243370	515	0.000000
281474976710655.000000	30.003540	516	0.000000
281474976710655.000000	41.878925	517	0.000000
281474976710655.000000	28.798809	518	0.000000
281474976710655.000000	34.453423	519	0.000000
281474976710655.000000	30.788250	520	0.000000
281474976710655.000000	39.472134	521	0.000000
281474976710655.000000	36.795162	522	0.000000
281474976710655.000000	43.886600	523	0.000000
281474976710655.000000	27.012815	524	0.000000
281474976710655.000000	38.973019	525	0.000000
281474976710655.000000	30.886667	526	0.000000
281474976710655.000000	41.504265	527	0.000000
281474976710655.000000	38.295734	528	0.000000
281474976710655.000000	32.757648	529	0.000000
281474976710655.000000	38.869011	530	0.000000
281474976710655.000000	40.332314	531	0.000000
281474976710655.000000	30.115849	532	0.000000
281474976710655.000000	30.571815	533	0.000000
281474976710655.000000	35.251270	534	0.000000
281474976710655.000000	40.896580	535	0.000000
281474976710655.000000	28.449734	536	0.000000
281474976710655.000000	27.134674	537	0.000000
281474976710655.000000	38.727753	538	0.000000
281474976710655.000000	30.110294	539	0.000000
281474976710655.000000	38.184380	540	0.000000
281474976710655.000000	39.691959	541	0.000000
281474976710655.000000	30.583155	542	0.000000
281474976710655.000000	31.666168	543	0.000000
281474976710655.000000	29.876133	544	0.000000
281474976710655.000000	28.965103	545	0.000000
281474976710655.000000	29.007708	546	0.000000
281474976710655.000000	25.626188	547	0.000000
281474976710655.000000	33.471519	548	0.000000
281474976710655.000000	31.963013	549	0.000000
281474976710655.000000	39.326126	550	0.000000
281474976710655.000000	33.497551	551	0.000000
281474976710655.000000	35.010624	552	0.000000
281474976710655.000000	28.049314	553	0.000000
281474976710655.000000	26.801512	554	0.000000
281474976710655.000000	34.389385	555	0.000000
281474976710655.000000	33.325050	556	0.000000
281474976710655.000000	28.950886	557	0.000000
281474976710655.000000	27.400059	558	0.000000
281474976710655.000000	31.617563	559	0.000000
281474976710655.000000	26.064522	560	0.000000
281474976710655.000000	33.219933	561	0.000000
281474976710655.000000	25.484106	562	0.000000
281474976710655.000000	26.614765	563	0.000000
281474976710655.000000	30.708792	564	0.000000
281474976710655.000000	31.931587	565	0.000000
281474976710655.000000	29.596970	566	0.000000
281474976710655.000000	26.126366	567	0.000000
281474976710655.000000	25.432980	568	0.000000
281474976710655.000000	33.233284	569	0.000000
281474976710655.000000	32.697559	570	0.000000
281474976710655.000000	32.420982	571	0.000000
281474976710655.000000	28.603500	572	0.000000
281474976710655.000000	29.557627	573	0.000000
281474976710655.000000	29.391415	574	0.000000
281474976710655.000000	30.888872	575	0.000000
281474976710655.000000	31.410902	576	0.000000
281474976710655.000000	24.670065	577	0.000000
281474976710655.000000	25.436920	578	0.000000
281474976710655.000000	25.021709	579	0.000000
281474976710655.000000	33.156166	580	0.000000
281474976710655.000000	27.478739	581	0.000000
281474976710655.000000	26.554306	582	0.000000
281474976710655.000000	28.597483	583	0.000000
281474976710655.000000	27.323294	584	0.000000
281474976710655.000000	24.526455	585	0.000000
281474976710655.000000	24.585239	586	0.000000
281474976710655.000000	28.782196	587	0.000000
281474976710655.000000	26.701220	588	0.000000
281474976710655.000000	25.495131	589	0.000000
281474976710655.000000	27.556959	590	0.000000
281474976710655.000000	29.393694	591	0.000000
281474976710655.000000	23.583961	592	0.000000
281474976710655.000000	23.038141	593	0.000000
281474976710655.000000	28.138281	594	0.000000
281474976710655.000000	28.999126	595	0.000000
281474976710655.000000	27.440954	596	0.000000
281474976710655.000000	27.829542	597	0.000000
281474976710655.000000	21.732187	598	0.000000
281474976710655.000000	27.555672	599	0.000000
281474976710655.000000	21.697805	600	0.000000
281474976710655.000000	25.088259	601	0.000000
281474976710655.000000	24.359674	602	0.000000
281474976710655.000000	26.301132	603	0.000000
281474976710655.000000	28.221693	604	0.000000
281474976710655.000000	29.247046	605	0.000000
281474976710655.000000	23.392380	606	0.000000
281474976710655.000000	20.782904	607	0.000000
281474976710655.000000	26.152670	608	0.000000
281474976710655.000000	26.267622	609	0.000000
281474976710655.000000	25.146196	610	0.000000
