num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
447	733.562477	65.065970	-0.851474	3.811763	45.970777
449	735.622651	64.730084	-0.876214	3.812332	47.976752
451	737.682809	64.420783	-0.890911	3.810800	43.796019
453	739.744167	64.459151	-0.914252	3.811267	42.374280
455	741.804489	64.054485	-0.923103	3.810396	41.358572
457	743.865396	63.646192	-0.956691	3.810218	44.283575
459	745.925224	63.344908	-0.960270	3.808713	44.368457
461	747.985823	63.393693	-0.987112	3.808449	44.040596
463	750.046358	63.210791	-0.992074	3.807692	43.654700
465	752.107459	62.750035	-1.007158	3.806979	40.821099
467	754.167678	62.885794	-1.008242	3.806485	43.019838
469	756.227779	62.470484	-1.049233	3.807267	42.981451
471	758.287820	62.335274	-1.085930	3.806676	41.549840
473	760.347413	62.034234	-1.098982	3.805665	41.289372
475	762.408581	61.607332	-1.102170	3.805758	40.834968
477	764.467227	61.616990	-1.130246	3.803703	40.697029
479	766.526902	61.247288	-1.160632	3.804426	40.449851
481	768.586724	60.890919	-1.158874	3.803480	39.912435
483	770.646010	60.840480	-1.189831	3.803495	40.374305
485	772.706489	60.755813	-1.210803	3.803420	38.076868
487	774.765741	60.389108	-1.236473	3.802513	39.242383
489	776.825862	60.146859	-1.235011	3.802882	39.464216
491	778.885396	59.958586	-1.255067	3.802494	39.005139
493	780.944770	59.667324	-1.283514	3.801361	39.628414
495	783.005029	59.555586	-1.184901	3.804699	38.322085
497	785.064601	59.084511	-1.198762	3.804491	38.094507
499	787.125112	58.822822	-1.210779	3.803314	37.202948
501	789.185727	58.825857	-1.241934	3.803110	37.926464
503	791.246164	58.592356	-1.246610	3.803279	37.141511
505	793.306370	58.426348	-1.268678	3.802912	37.101571
507	795.366469	58.264028	-1.276783	3.802578	37.188881
509	797.426909	58.106621	-1.304192	3.802111	36.050849
511	799.487221	57.673608	-1.310972	3.801823	36.410791
513	801.547881	57.351384	-1.346883	3.801965	37.618980
515	803.606928	57.057378	-1.363350	3.800851	36.347265
517	805.668262	57.090697	-1.369279	3.800845	34.030765
519	807.727452	56.885984	-1.397654	3.801741	35.255291
521	809.787448	56.480657	-1.404488	3.800244	35.235750
523	811.847382	56.408080	-1.434739	3.799823	33.994408
525	813.907372	56.028693	-1.449618	3.799852	34.987452
527	815.966674	55.907098	-1.447894	3.798558	33.256163
529	818.026081	55.941392	-1.476945	3.799325	33.446412
531	820.085921	55.586405	-1.485888	3.799549	33.998922
533	822.145908	55.388449	-1.498902	3.798777	33.025272
535	824.205136	55.073702	-1.531531	3.798052	32.375370
537	826.265178	54.663972	-1.540457	3.797760	33.035986
539	828.325977	54.679844	-1.549050	3.797625	31.630034
541	830.384503	54.505477	-1.556422	3.795712	32.860246
543	832.445336	54.219120	-1.585660	3.795709	33.149749
545	834.504689	53.949987	-1.595728	3.795316	32.486276
547	836.564554	53.734821	-1.603900	3.794689	33.111191
549	838.624960	53.610081	-1.621216	3.793762	32.127985
551	840.685420	53.299662	-1.636536	3.793750	31.169637
553	842.745759	52.884668	-1.653619	3.793832	30.277791
555	844.805560	52.886072	-1.661666	3.792720	30.821389
557	846.865724	52.689499	-1.681328	3.792056	30.126439
559	848.925205	52.671319	-1.706486	3.791245	30.096013
561	850.985927	52.285519	-1.722929	3.790626	29.789366
563	853.046510	52.178470	-1.726200	3.790238	29.424160
565	855.105736	51.729232	-1.745353	3.789615	28.673284
567	857.165713	51.635891	-1.745344	3.789376	28.909151
569	859.225449	51.381140	-1.745803	3.788035	29.088300
571	861.285103	51.280405	-1.766447	3.788207	28.609335
573	863.344750	51.118243	-1.792667	3.788112	28.800190
575	865.405171	51.139926	-1.786535	3.787037	27.682796
577	867.464293	50.767955	-1.820416	3.786417	28.021943
579	869.523575	50.584962	-1.810472	3.786425	28.379473
581	871.582804	50.278225	-1.821068	3.785504	27.705869
583	873.642612	49.992091	-1.850402	3.785064	27.164898
585	875.702596	49.813056	-1.868674	3.784830	27.938075
587	877.762262	49.739649	-1.884197	3.784140	25.648153
589	879.822143	49.670219	-1.901288	3.784206	27.252292
591	881.881984	49.529591	-1.912451	3.783756	26.183523
593	883.941023	49.072685	-1.921085	3.783180	27.046935
595	886.001014	48.786984	-1.934910	3.782430	26.786262
597	888.061907	48.686128	-1.943470	3.782682	25.866846
599	890.120800	48.513724	-1.972988	3.781319	26.356096
601	892.181529	48.707353	-1.970740	3.781224	25.531322
603	894.240309	48.187412	-1.990175	3.781251	26.546822
605	896.300313	48.132571	-1.999086	3.780934	25.356803
607	898.360793	47.844339	-2.009260	3.780174	26.784726
609	900.421209	47.785278	-2.021628	3.779821	23.129782
611	902.481763	47.313214	-2.035014	3.779768	24.909047
