crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	89.083511	3061	0.000000
281474976710655.000000	81.227036	3062	0.000000
281474976710655.000000	72.540436	3063	0.000000
281474976710655.000000	82.434891	3064	0.000000
281474976710655.000000	34.968327	3065	0.000000
281474976710655.000000	65.163200	3066	0.000000
281474976710655.000000	73.668465	3067	0.000000
281474976710655.000000	68.260696	3068	0.000000
281474976710655.000000	62.553761	3069	0.000000
281474976710655.000000	115.592079	3070	0.000000
281474976710655.000000	43.341595	3071	0.000000
281474976710655.000000	56.376652	3072	0.000000
281474976710655.000000	69.432068	3073	0.000000
281474976710655.000000	74.473038	3074	0.000000
281474976710655.000000	39.626976	3075	0.000000
281474976710655.000000	44.171314	3076	0.000000
281474976710655.000000	52.530304	3077	0.000000
281474976710655.000000	40.751789	3078	0.000000
281474976710655.000000	42.471107	3079	0.000000
281474976710655.000000	29.580589	3080	0.000000
281474976710655.000000	33.527588	3081	0.000000
281474976710655.000000	40.205475	3082	0.000000
281474976710655.000000	30.898319	3083	0.000000
281474976710655.000000	31.074818	3084	0.000000
281474976710655.000000	32.234776	3085	0.000000
281474976710655.000000	28.527943	3086	0.000000
281474976710655.000000	26.803997	3087	0.000000
281474976710655.000000	22.244812	3088	0.000000
281474976710655.000000	22.894299	3089	0.000000
281474976710655.000000	19.998722	3090	0.000000
281474976710655.000000	21.085089	3091	0.000000
281474976710655.000000	19.255495	3092	0.000000
281474976710655.000000	20.022326	3093	0.000000
281474976710655.000000	18.510107	3094	0.000000
281474976710655.000000	16.959932	3095	0.000000
281474976710655.000000	16.122402	3096	0.000000
281474976710655.000000	15.434793	3097	0.000000
281474976710655.000000	14.725742	3098	0.000000
281474976710655.000000	14.263374	3099	0.000000
281474976710655.000000	12.512030	3100	0.000000
281474976710655.000000	12.856652	3101	0.000000
281474976710655.000000	12.085364	3102	0.000000
281474976710655.000000	11.926641	3103	0.000000
281474976710655.000000	10.349039	3104	0.000000
281474976710655.000000	9.103836	3105	0.000000
281474976710655.000000	9.341029	3106	0.000000
281474976710655.000000	8.934448	3107	0.000000
281474976710655.000000	8.397573	3108	0.000000
281474976710655.000000	8.036801	3109	0.000000
281474976710655.000000	7.585893	3110	0.000000
281474976710655.000000	7.000988	3111	0.000000
281474976710655.000000	7.177973	3112	0.000000
281474976710655.000000	6.603151	3113	0.000000
