num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2981	3711.957145	59.211923	0.632471	3.724514	71.747628
2983	3714.037527	55.813479	0.138042	3.700909	66.359344
2985	3716.106502	54.916299	0.834138	3.701919	63.519711
2987	3718.170055	51.307731	0.264375	3.724418	54.709114
2989	3720.253045	49.047989	0.261107	3.690865	49.421139
2991	3722.318190	47.871505	0.580154	3.706144	48.927809
2993	3724.383006	44.965056	0.255306	3.722069	42.640366
2995	3726.460432	42.346187	0.158915	3.707519	39.570248
2997	3728.538378	40.478583	0.257227	3.699445	37.349645
2999	3730.611217	39.007942	0.255760	3.699795	33.355094
3001	3732.682019	36.923900	0.228496	3.703691	29.276018
3003	3734.753937	35.269601	0.187150	3.708671	27.088808
3005	3736.825069	33.782514	0.136709	3.709006	20.674289
3007	3738.887932	32.165519	0.047368	3.702190	21.868920
3009	3740.948209	30.485273	0.039399	3.685216	20.563105
3011	3743.017004	28.689492	0.130914	3.677963	17.683106
3013	3745.099498	27.071498	0.175809	3.701535	17.273576
3015	3747.181986	26.169175	-0.028761	3.718385	15.118527
3017	3749.243251	25.136256	-0.104905	3.700878	12.826563
3019	3751.298845	23.823351	-0.042120	3.681453	11.839348
3021	3753.366594	22.457511	0.007986	3.676650	10.582696
3023	3755.441944	21.326504	-0.009471	3.686309	10.734329
3025	3757.518506	20.212722	-0.041607	3.691057	8.577388
3027	3759.594449	19.362839	-0.085183	3.690525	8.155223
3029	3761.659592	18.618552	-0.079847	3.692508	7.477400
3031	3763.722202	17.656926	-0.082079	3.699409	6.970800
3033	3765.785441	16.744932	-0.103405	3.709610	6.059954
3035	3767.863731	15.761859	-0.162620	3.711173	5.664936
3037	3769.951015	14.657241	-0.165275	3.695465	5.308491
3039	3772.042549	14.359292	-0.025474	3.667458	4.786515
