crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	137.957428	2982	0.000000
281474976710655.000000	63.874973	2983	0.000000
281474976710655.000000	62.511288	2984	0.000000
281474976710655.000000	57.798786	2985	0.000000
281474976710655.000000	55.242111	2986	0.000000
281474976710655.000000	52.573772	2987	0.000000
281474976710655.000000	52.228348	2988	0.000000
281474976710655.000000	83.005051	2989	0.000000
281474976710655.000000	63.047981	2990	0.000000
281474976710655.000000	56.510937	2991	0.000000
281474976710655.000000	38.928337	2992	0.000000
281474976710655.000000	40.144871	2993	0.000000
281474976710655.000000	38.975487	2994	0.000000
281474976710655.000000	33.078453	2995	0.000000
281474976710655.000000	33.371067	2996	0.000000
281474976710655.000000	32.902702	2997	0.000000
281474976710655.000000	32.868114	2998	0.000000
281474976710655.000000	29.833754	2999	0.000000
281474976710655.000000	29.236835	3000	0.000000
281474976710655.000000	27.550768	3001	0.000000
281474976710655.000000	28.073343	3002	0.000000
281474976710655.000000	20.769869	3003	0.000000
281474976710655.000000	24.572552	3004	0.000000
281474976710655.000000	22.220469	3005	0.000000
281474976710655.000000	24.037762	3006	0.000000
281474976710655.000000	21.812325	3007	0.000000
281474976710655.000000	21.347677	3008	0.000000
281474976710655.000000	17.829105	3009	0.000000
281474976710655.000000	17.449995	3010	0.000000
281474976710655.000000	17.234533	3011	0.000000
281474976710655.000000	15.437471	3012	0.000000
281474976710655.000000	15.314478	3013	0.000000
281474976710655.000000	13.718060	3014	0.000000
281474976710655.000000	12.877066	3015	0.000000
281474976710655.000000	13.351835	3016	0.000000
281474976710655.000000	12.309128	3017	0.000000
281474976710655.000000	11.938668	3018	0.000000
281474976710655.000000	10.835692	3019	0.000000
281474976710655.000000	10.214354	3020	0.000000
281474976710655.000000	10.353632	3021	0.000000
281474976710655.000000	9.632741	3022	0.000000
281474976710655.000000	8.776341	3023	0.000000
281474976710655.000000	8.581876	3024	0.000000
281474976710655.000000	8.197209	3025	0.000000
281474976710655.000000	7.557590	3026	0.000000
281474976710655.000000	7.173260	3027	0.000000
281474976710655.000000	7.043875	3028	0.000000
281474976710655.000000	7.032567	3029	0.000000
281474976710655.000000	6.092649	3030	0.000000
281474976710655.000000	5.906934	3031	0.000000
281474976710655.000000	5.816473	3032	0.000000
281474976710655.000000	5.387672	3033	0.000000
281474976710655.000000	5.664941	3034	0.000000
281474976710655.000000	4.987391	3035	0.000000
281474976710655.000000	4.416436	3036	0.000000
281474976710655.000000	4.445304	3037	0.000000
281474976710655.000000	3.885911	3038	0.000000
281474976710655.000000	3.819224	3039	0.000000
281474976710655.000000	3.576027	3040	0.000000
281474976710655.000000	3.285447	3041	0.000000
281474976710655.000000	3.278790	3042	0.000000
