crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	70.587265	3302	0.000000
281474976710655.000000	44.960846	3303	0.000000
281474976710655.000000	69.617706	3304	0.000000
281474976710655.000000	66.442238	3305	0.000000
281474976710655.000000	62.763309	3306	0.000000
281474976710655.000000	55.955856	3307	0.000000
281474976710655.000000	60.957520	3308	0.000000
281474976710655.000000	66.351730	3309	0.000000
281474976710655.000000	57.532341	3310	0.000000
281474976710655.000000	38.458828	3311	0.000000
281474976710655.000000	38.216827	3312	0.000000
281474976710655.000000	50.330669	3313	0.000000
281474976710655.000000	62.387856	3314	0.000000
281474976710655.000000	54.760139	3315	0.000000
281474976710655.000000	38.911552	3316	0.000000
281474976710655.000000	44.142151	3317	0.000000
281474976710655.000000	40.478027	3318	0.000000
281474976710655.000000	45.011124	3319	0.000000
281474976710655.000000	31.230368	3320	0.000000
281474976710655.000000	37.278988	3321	0.000000
281474976710655.000000	36.173809	3322	0.000000
281474976710655.000000	31.116728	3323	0.000000
281474976710655.000000	37.945774	3324	0.000000
281474976710655.000000	26.939484	3325	0.000000
281474976710655.000000	30.665903	3326	0.000000
281474976710655.000000	34.626255	3327	0.000000
281474976710655.000000	24.080982	3328	0.000000
281474976710655.000000	26.182745	3329	0.000000
281474976710655.000000	28.621473	3330	0.000000
281474976710655.000000	23.477365	3331	0.000000
281474976710655.000000	22.679541	3332	0.000000
281474976710655.000000	20.710873	3333	0.000000
281474976710655.000000	24.394186	3334	0.000000
281474976710655.000000	21.184721	3335	0.000000
281474976710655.000000	23.173586	3336	0.000000
281474976710655.000000	21.075985	3337	0.000000
281474976710655.000000	19.817314	3338	0.000000
281474976710655.000000	19.589363	3339	0.000000
281474976710655.000000	18.191256	3340	0.000000
281474976710655.000000	17.791418	3341	0.000000
281474976710655.000000	17.000017	3342	0.000000
281474976710655.000000	16.795374	3343	0.000000
281474976710655.000000	16.303667	3344	0.000000
281474976710655.000000	14.779176	3345	0.000000
281474976710655.000000	12.723217	3346	0.000000
281474976710655.000000	13.488050	3347	0.000000
281474976710655.000000	12.745350	3348	0.000000
281474976710655.000000	12.981946	3349	0.000000
281474976710655.000000	12.038478	3350	0.000000
281474976710655.000000	10.968333	3351	0.000000
281474976710655.000000	11.837855	3352	0.000000
281474976710655.000000	12.322449	3353	0.000000
281474976710655.000000	9.659820	3354	0.000000
281474976710655.000000	8.957491	3355	0.000000
281474976710655.000000	9.496742	3356	0.000000
281474976710655.000000	8.508600	3357	0.000000
281474976710655.000000	8.983359	3358	0.000000
281474976710655.000000	8.548961	3359	0.000000
281474976710655.000000	8.275295	3360	0.000000
281474976710655.000000	8.068049	3361	0.000000
281474976710655.000000	7.752909	3362	0.000000
281474976710655.000000	7.678776	3363	0.000000
281474976710655.000000	6.980636	3364	0.000000
281474976710655.000000	6.814159	3365	0.000000
281474976710655.000000	6.383739	3366	0.000000
281474976710655.000000	6.399503	3367	0.000000
281474976710655.000000	5.958644	3368	0.000000
281474976710655.000000	5.842476	3369	0.000000
281474976710655.000000	5.663634	3370	0.000000
281474976710655.000000	5.552186	3371	0.000000
281474976710655.000000	4.957640	3372	0.000000
