num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3299	4061.441530	64.349759	-0.417319	3.686120	80.940902
3301	4063.514703	62.090584	-0.466124	3.689108	75.973593
3303	4065.588048	60.306995	-0.504880	3.690214	70.147199
3305	4067.660519	58.249130	-0.550552	3.690400	66.808642
3307	4069.729529	56.268405	-0.588851	3.689190	64.968906
3309	4071.801424	54.375102	-0.619638	3.686445	54.855308
3311	4073.870239	52.614967	-0.609749	3.683419	57.012812
3313	4075.939302	50.845366	-0.616931	3.682097	48.927823
3315	4078.006032	49.005851	-0.632818	3.682135	48.003323
3317	4080.070986	47.499398	-0.667791	3.684185	45.582061
3319	4082.136102	45.802324	-0.666143	3.686244	41.169603
3321	4084.205432	43.836557	-0.736427	3.686797	38.350501
3323	4086.275068	42.098298	-0.715828	3.685686	37.308880
3325	4088.347085	40.770907	-0.752750	3.684964	31.528461
3327	4090.418663	39.295038	-0.738624	3.681717	31.525710
3329	4092.489786	37.747348	-0.733201	3.680534	29.221126
3331	4094.561779	36.172503	-0.716390	3.678174	27.729312
3333	4096.630545	34.902813	-0.720777	3.676931	24.250746
3335	4098.699781	33.819289	-0.722721	3.677425	22.354546
3337	4100.767820	32.497471	-0.713772	3.672897	21.364396
3339	4102.833255	31.469406	-0.707966	3.668336	20.024930
3341	4104.899507	30.375242	-0.699036	3.671822	19.543254
3343	4106.968527	28.848103	-0.669682	3.667739	18.189190
3345	4109.041769	28.034718	-0.654926	3.668491	16.986776
3347	4111.115992	26.836140	-0.646651	3.672598	15.161740
3349	4113.193317	25.663039	-0.633428	3.672976	13.827765
3351	4115.266685	24.764933	-0.653069	3.673850	13.147631
3353	4117.342546	24.033651	-0.658035	3.675176	10.928344
3355	4119.411065	23.166105	-0.679645	3.673355	12.054212
3357	4121.486096	22.139907	-0.670721	3.669184	9.632657
3359	4123.551640	21.341350	-0.649277	3.667431	9.078359
3361	4125.616027	20.707612	-0.637718	3.665610	8.880240
3363	4127.680462	20.094933	-0.627937	3.665102	8.036989
3365	4129.745211	19.260231	-0.637122	3.668894	7.767182
3367	4131.808972	18.425918	-0.641453	3.672313	6.834749
3369	4133.875625	17.624071	-0.630007	3.674042	6.575009
