crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	62.749924	2346	0.000000
281474976710655.000000	42.100990	2347	0.000000
281474976710655.000000	39.394161	2348	0.000000
281474976710655.000000	33.301346	2349	0.000000
281474976710655.000000	36.342651	2350	0.000000
281474976710655.000000	47.621323	2351	0.000000
281474976710655.000000	34.525074	2352	0.000000
281474976710655.000000	30.822201	2353	0.000000
281474976710655.000000	45.491753	2354	0.000000
281474976710655.000000	35.493000	2355	0.000000
281474976710655.000000	36.496338	2356	0.000000
281474976710655.000000	49.122501	2357	0.000000
281474976710655.000000	47.410397	2358	0.000000
281474976710655.000000	35.930664	2359	0.000000
281474976710655.000000	42.440418	2360	0.000000
281474976710655.000000	36.707535	2361	0.000000
281474976710655.000000	33.375919	2362	0.000000
281474976710655.000000	35.279041	2363	0.000000
281474976710655.000000	34.354237	2364	0.000000
281474976710655.000000	44.115570	2365	0.000000
281474976710655.000000	35.669292	2366	0.000000
281474976710655.000000	47.387768	2367	0.000000
281474976710655.000000	32.687134	2368	0.000000
281474976710655.000000	51.306789	2369	0.000000
281474976710655.000000	41.761585	2370	0.000000
281474976710655.000000	35.566601	2371	0.000000
281474976710655.000000	49.385895	2372	0.000000
281474976710655.000000	50.543118	2373	0.000000
281474976710655.000000	34.738548	2374	0.000000
281474976710655.000000	43.597599	2375	0.000000
281474976710655.000000	39.544598	2376	0.000000
281474976710655.000000	39.780602	2377	0.000000
281474976710655.000000	42.266441	2378	0.000000
281474976710655.000000	51.732544	2379	0.000000
281474976710655.000000	43.200687	2380	0.000000
281474976710655.000000	45.629047	2381	0.000000
281474976710655.000000	41.070465	2382	0.000000
281474976710655.000000	34.100765	2383	0.000000
281474976710655.000000	30.116152	2384	0.000000
281474976710655.000000	36.050114	2385	0.000000
281474976710655.000000	40.596424	2386	0.000000
281474976710655.000000	44.996979	2387	0.000000
281474976710655.000000	33.065979	2388	0.000000
281474976710655.000000	32.674938	2389	0.000000
281474976710655.000000	32.970665	2390	0.000000
281474976710655.000000	30.960295	2391	0.000000
281474976710655.000000	38.146885	2392	0.000000
281474976710655.000000	37.139729	2393	0.000000
281474976710655.000000	43.674961	2394	0.000000
281474976710655.000000	38.842819	2395	0.000000
281474976710655.000000	34.291176	2396	0.000000
281474976710655.000000	45.904816	2397	0.000000
281474976710655.000000	30.465303	2398	0.000000
281474976710655.000000	35.309502	2399	0.000000
281474976710655.000000	41.258663	2400	0.000000
281474976710655.000000	49.714935	2401	0.000000
281474976710655.000000	35.303631	2402	0.000000
281474976710655.000000	48.977718	2403	0.000000
281474976710655.000000	47.051388	2404	0.000000
281474976710655.000000	31.653965	2405	0.000000
281474976710655.000000	30.532320	2406	0.000000
281474976710655.000000	43.520626	2407	0.000000
281474976710655.000000	39.974377	2408	0.000000
281474976710655.000000	33.384216	2409	0.000000
281474976710655.000000	42.726749	2410	0.000000
281474976710655.000000	42.543957	2411	0.000000
281474976710655.000000	37.764694	2412	0.000000
281474976710655.000000	41.957718	2413	0.000000
281474976710655.000000	40.387398	2414	0.000000
281474976710655.000000	34.938358	2415	0.000000
281474976710655.000000	45.941143	2416	0.000000
281474976710655.000000	35.227135	2417	0.000000
281474976710655.000000	36.519875	2418	0.000000
281474976710655.000000	32.524895	2419	0.000000
281474976710655.000000	41.189629	2420	0.000000
281474976710655.000000	37.713070	2421	0.000000
281474976710655.000000	35.183834	2422	0.000000
281474976710655.000000	30.050791	2423	0.000000
281474976710655.000000	29.097691	2424	0.000000
281474976710655.000000	29.985943	2425	0.000000
281474976710655.000000	30.626926	2426	0.000000
281474976710655.000000	35.487591	2427	0.000000
281474976710655.000000	37.107197	2428	0.000000
281474976710655.000000	30.727055	2429	0.000000
281474976710655.000000	32.004868	2430	0.000000
281474976710655.000000	34.228485	2431	0.000000
281474976710655.000000	31.055042	2432	0.000000
281474976710655.000000	28.407827	2433	0.000000
281474976710655.000000	35.030636	2434	0.000000
281474976710655.000000	28.849035	2435	0.000000
281474976710655.000000	30.687582	2436	0.000000
281474976710655.000000	29.734768	2437	0.000000
281474976710655.000000	35.992054	2438	0.000000
281474976710655.000000	27.117786	2439	0.000000
281474976710655.000000	27.003086	2440	0.000000
281474976710655.000000	38.676960	2441	0.000000
281474976710655.000000	26.936880	2442	0.000000
281474976710655.000000	30.680880	2443	0.000000
281474976710655.000000	24.708654	2444	0.000000
281474976710655.000000	29.228855	2445	0.000000
281474976710655.000000	36.888271	2446	0.000000
281474976710655.000000	29.979372	2447	0.000000
281474976710655.000000	31.205853	2448	0.000000
281474976710655.000000	29.188820	2449	0.000000
281474976710655.000000	26.690834	2450	0.000000
281474976710655.000000	39.435753	2451	0.000000
281474976710655.000000	37.162472	2452	0.000000
281474976710655.000000	32.039467	2453	0.000000
281474976710655.000000	33.628082	2454	0.000000
281474976710655.000000	28.472502	2455	0.000000
281474976710655.000000	25.144449	2456	0.000000
281474976710655.000000	35.321133	2457	0.000000
281474976710655.000000	25.389496	2458	0.000000
281474976710655.000000	34.048935	2459	0.000000
281474976710655.000000	32.728485	2460	0.000000
281474976710655.000000	28.673616	2461	0.000000
281474976710655.000000	27.406471	2462	0.000000
281474976710655.000000	28.953379	2463	0.000000
281474976710655.000000	27.196283	2464	0.000000
281474976710655.000000	32.047867	2465	0.000000
281474976710655.000000	36.325848	2466	0.000000
281474976710655.000000	36.697834	2467	0.000000
281474976710655.000000	32.294987	2468	0.000000
