num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2343	2775.567611	68.356397	-0.204638	3.633499	44.428232
2345	2777.626222	68.262498	-0.229343	3.634079	40.946850
2347	2779.684001	68.089958	-0.276523	3.633598	43.804252
2349	2781.743174	67.911086	-0.293600	3.632544	41.198253
2351	2783.801193	67.643603	-0.308396	3.633267	40.859501
2353	2785.859304	67.480668	-0.346702	3.631926	43.380546
2355	2787.918101	66.938379	-0.373960	3.632212	42.326791
2357	2789.975665	66.882900	-0.398263	3.632727	40.742382
2359	2792.034617	66.908189	-0.396862	3.632273	41.069858
2361	2794.092361	66.720081	-0.411183	3.632403	41.503142
2363	2796.150087	66.285168	-0.452395	3.631583	41.833507
2365	2798.209563	66.361019	-0.469252	3.632013	37.842217
2367	2800.267476	66.022581	-0.471680	3.631138	41.682123
2369	2802.326341	66.010333	-0.509511	3.632939	39.987571
2371	2804.384781	65.695860	-0.541471	3.631378	38.881221
2373	2806.443409	65.416110	-0.543735	3.629900	38.320594
2375	2808.502577	65.223405	-0.559635	3.629334	39.049600
2377	2810.560756	65.216087	-0.587923	3.630223	39.427637
2379	2812.619573	64.874249	-0.608698	3.629815	40.307338
2381	2814.677854	64.876035	-0.630276	3.630030	38.533970
2383	2816.735999	64.510792	-0.616478	3.628599	38.969966
2385	2818.794985	64.400952	-0.647171	3.628563	38.282861
2387	2820.854077	64.242796	-0.663673	3.628324	37.853195
2389	2822.913571	64.004709	-0.679508	3.627485	37.274785
2391	2824.971596	63.801334	-0.697706	3.626724	36.874561
2393	2827.031163	63.648587	-0.710515	3.626763	37.546042
2395	2829.089068	63.304303	-0.779836	3.626513	38.138638
2397	2831.147546	63.182946	-0.783948	3.625478	37.101102
2399	2833.206936	63.112831	-0.780497	3.626237	36.434507
2401	2835.265769	63.034209	-0.794379	3.625753	37.999905
2403	2837.324010	62.874181	-0.826569	3.625013	37.071872
2405	2839.381534	62.660444	-0.836259	3.624755	37.300628
2407	2841.440173	62.475718	-0.874220	3.624982	35.595051
2409	2843.498968	62.107630	-0.894301	3.625195	35.562198
2411	2845.556543	61.934432	-0.855762	3.624184	35.801204
2413	2847.615241	61.809240	-0.867589	3.623161	34.680300
2415	2849.672855	61.345232	-0.893522	3.622385	35.694123
2417	2851.731309	61.657405	-0.929514	3.622493	35.587736
2419	2853.787769	61.442637	-0.933899	3.622220	35.434566
2421	2855.845786	61.258247	-0.928150	3.621367	35.229020
2423	2857.903067	61.109146	-0.982291	3.622028	34.469722
2425	2859.962194	60.797923	-0.987806	3.621290	33.904003
2427	2862.018618	60.551443	-1.016259	3.621139	34.302840
2429	2864.076115	60.439408	-1.027269	3.618448	34.079356
2431	2866.133738	60.336928	-1.073457	3.619513	33.898603
2433	2868.191874	60.266256	-1.078442	3.618698	33.652656
2435	2870.250153	59.836941	-1.100106	3.618611	32.745851
2437	2872.307504	59.849333	-1.103574	3.618588	34.114290
2439	2874.365128	59.590135	-1.113281	3.617179	33.949159
2441	2876.422671	59.183409	-1.154198	3.618081	32.817352
2443	2878.480895	59.415229	-1.151005	3.617335	33.313961
2445	2880.537760	58.974213	-1.178808	3.617970	32.472870
2447	2882.597719	58.972691	-1.159122	3.616508	33.443866
2449	2884.655800	58.704618	-1.190355	3.616414	32.649211
2451	2886.713807	58.784436	-1.205846	3.615743	32.644627
2453	2888.771167	58.503447	-1.218391	3.615876	32.094764
2455	2890.830250	58.186558	-1.243751	3.616734	30.969175
2457	2892.888307	57.917360	-1.254488	3.616447	31.935371
2459	2894.946794	57.938944	-1.270658	3.616135	31.906577
2461	2897.006161	57.878527	-1.289694	3.616355	30.927424
2463	2899.061951	57.544756	-1.309790	3.615552	30.072143
2465	2901.120714	57.342170	-1.340273	3.613778	30.572894
2467	2903.181000	57.108790	-1.299745	3.614062	31.877202
2469	2905.236042	56.898545	-1.372797	3.613595	32.033000
2471	2907.295537	56.720931	-1.369893	3.612464	29.632993
2473	2909.354066	56.682068	-1.397784	3.612088	30.479980
2475	2911.412188	56.279305	-1.416836	3.612222	29.709473
2477	2913.470821	56.201862	-1.434716	3.611067	30.281440
2479	2915.530003	56.007571	-1.416266	3.611550	30.188275
2481	2917.588765	55.865785	-1.437089	3.609716	29.588491
2483	2919.646653	55.724256	-1.468090	3.610230	28.935227
2485	2921.706619	55.537485	-1.491296	3.609254	29.868781
2487	2923.764188	55.232176	-1.514541	3.609036	30.815588
2489	2925.823310	55.109467	-1.469519	3.607814	29.144111
2491	2927.882364	55.245605	-1.522304	3.608226	29.523398
2493	2929.940973	55.063240	-1.523408	3.607510	29.074559
2495	2931.999488	54.641486	-1.537931	3.607057	29.101830
2497	2934.058032	54.640908	-1.573602	3.606982	27.903061
2499	2936.116951	54.361930	-1.533045	3.606289	27.673194
2501	2938.175690	54.096452	-1.571412	3.605123	29.169337
2503	2940.234127	54.027260	-1.585386	3.606002	27.901122
2505	2942.291599	53.941864	-1.616388	3.604862	27.682265
2507	2944.350981	53.821073	-1.621004	3.605276	27.605499
2509	2946.409361	53.642665	-1.624037	3.604647	27.195624
2511	2948.466954	53.493602	-1.634274	3.604130	28.086193
2513	2950.524978	53.138423	-1.668759	3.602804	26.998205
2515	2952.582327	53.334652	-1.681317	3.602090	28.125345
2517	2954.640720	53.272156	-1.649859	3.603733	26.495620
2519	2956.698410	52.847421	-1.674422	3.601022	26.806128
2521	2958.755480	52.663416	-1.717240	3.600236	26.565101
2523	2960.813354	52.693810	-1.747385	3.601045	26.058291
2525	2962.869891	52.370145	-1.726202	3.600019	25.664077
2527	2964.927301	52.251077	-1.744200	3.598626	26.970631
2529	2966.985486	52.211778	-1.776555	3.598093	25.749375
2531	2969.041972	51.894560	-1.763379	3.597917	26.131271
2533	2971.099198	51.855983	-1.790371	3.596822	26.769703
2535	2973.156555	51.519008	-1.810586	3.594485	25.148261
2537	2975.213166	51.413532	-1.819596	3.595161	25.831068
2539	2977.271538	51.256351	-1.828911	3.594572	25.441881
2541	2979.329459	51.064753	-1.825623	3.593949	24.879375
2543	2981.387925	50.914052	-1.844926	3.593323	24.138002
2545	2983.444197	50.798690	-1.855674	3.592737	24.762686
2547	2985.503304	50.929213	-1.843573	3.593995	23.557451
2549	2987.559694	50.349776	-1.892345	3.591018	24.744772
2551	2989.618893	50.212861	-1.901789	3.592230	24.814192
2553	2991.675754	50.400887	-1.890905	3.591799	23.948808
2555	2993.734551	50.250406	-1.912802	3.592202	23.042456
2557	2995.792026	50.088235	-1.916741	3.591395	23.890815
2559	2997.849980	49.740712	-1.933644	3.590996	23.615006
2561	2999.908151	49.672501	-1.941482	3.590893	23.587376
2563	3001.966926	49.543077	-1.937115	3.591016	23.464831
2565	3004.023964	49.326015	-1.969148	3.590005	22.527210
2567	3006.081941	49.108007	-1.982611	3.588941	23.311184
2569	3008.139933	49.162967	-1.976617	3.588947	23.087551
2571	3010.197865	48.843038	-2.001414	3.588230	22.922482
2573	3012.257379	48.743036	-2.010616	3.585358	22.948949
2575	3014.316276	48.492314	-2.034106	3.587426	22.168734
2577	3016.375660	48.541262	-2.030039	3.585594	23.023109
2579	3018.431416	48.284242	-2.046552	3.586239	21.965061
2581	3020.490574	47.979665	-2.064025	3.585077	22.483345
2583	3022.547692	48.052070	-2.087849	3.584564	22.496521
2585	3024.607615	47.877371	-2.097697	3.584605	21.675797
2587	3026.665785	47.787650	-2.081334	3.583136	21.178268
2589	3028.725662	47.558383	-2.089197	3.580269	21.194260
2591	3030.783139	47.379915	-2.114960	3.580991	21.470159
2593	3032.841819	47.451101	-2.143144	3.582848	21.789651
2595	3034.900509	47.110296	-2.144756	3.580675	21.112584
2597	3036.958692	46.989483	-2.136703	3.579054	20.380646
2599	3039.017563	46.928099	-2.165115	3.579076	20.317230
2601	3041.074946	46.719402	-2.177988	3.577980	21.148477
2603	3043.136022	46.596056	-2.155134	3.577944	20.011491
2605	3045.194359	46.373470	-2.160229	3.577626	20.937408
2607	3047.253598	46.525112	-2.205711	3.577358	20.479307
2609	3049.309749	46.659099	-2.174305	3.576695	20.916448
2611	3051.368046	46.132975	-2.187867	3.576629	21.869224
2613	3053.426396	45.889954	-2.200542	3.576072	20.119365
2615	3055.484029	45.866185	-2.176370	3.575466	20.444240
2617	3057.540576	45.669309	-2.232096	3.575809	20.347521
2619	3059.600027	45.491662	-2.211299	3.573625	20.613246
2621	3061.657404	45.429002	-2.240345	3.573368	20.685033
2623	3063.713904	45.208575	-2.217941	3.572331	19.988355
2625	3065.772217	45.182932	-2.231599	3.571441	19.300840
2627	3067.830091	44.960298	-2.255993	3.570648	19.904823
2629	3069.886275	44.866502	-2.257705	3.570102	19.600958
2631	3071.943732	44.806798	-2.273812	3.570833	19.865586
2633	3074.001199	44.647924	-2.291800	3.568555	18.905576
2635	3076.058911	44.542761	-2.277887	3.567733	19.203773
2637	3078.115541	44.657772	-2.302306	3.566336	18.122398
2639	3080.174421	44.273452	-2.294229	3.565951	18.881356
