num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
51	319.806270	66.623940	-0.378403	3.788939	46.922615
53	321.867018	66.469195	-0.389497	3.789633	47.900608
55	323.928788	66.303833	-0.425892	3.788294	47.691459
57	325.989251	65.705914	-0.458436	3.788941	48.377075
59	328.051083	65.727639	-0.488239	3.788959	47.262494
61	330.112953	65.507533	-0.513992	3.789218	44.635101
63	332.174888	65.483367	-0.536204	3.787536	45.646724
65	334.236502	65.178552	-0.566398	3.786997	44.741374
67	336.296467	65.062523	-0.581452	3.787171	45.321570
69	338.356666	64.732909	-0.626414	3.786329	44.818578
71	340.416073	64.306981	-0.649672	3.786932	44.441890
73	342.476085	64.207987	-0.666427	3.786313	44.606788
75	344.534506	64.154349	-0.678914	3.787145	43.116525
77	346.594212	64.001064	-0.715223	3.786591	43.571593
79	348.652655	63.597401	-0.730353	3.787377	43.524142
81	350.712688	63.351050	-0.747535	3.788995	40.937020
83	352.770955	63.055628	-0.768028	3.789254	41.597727
85	354.830347	62.523379	-0.823478	3.788675	42.673297
87	356.890168	62.129544	-0.830746	3.788965	43.462600
89	358.949498	62.200740	-0.843154	3.789348	41.880371
91	361.008142	61.436269	-0.848781	3.788561	41.031788
93	363.068823	61.311213	-0.889599	3.787383	39.448036
95	365.127753	61.070246	-0.908027	3.786003	41.264587
97	367.189404	60.984890	-0.925587	3.783963	39.366741
99	369.249988	60.659839	-0.957835	3.785768	41.099405
101	371.310767	60.534536	-0.969166	3.784434	40.755866
103	373.372249	60.263573	-0.970820	3.783489	39.558844
105	375.431875	60.222852	-0.994356	3.783370	40.458286
107	377.493913	59.868946	-1.026417	3.784265	38.719417
109	379.555451	59.728493	-1.049445	3.782497	39.324534
111	381.614076	59.541640	-1.036604	3.781330	38.535994
113	383.674110	59.048082	-1.109746	3.781940	37.218500
115	385.733773	59.006929	-1.094158	3.781953	37.154908
117	387.793025	58.997123	-1.121305	3.781117	38.460272
119	389.852962	58.710982	-1.124795	3.779517	36.603804
121	391.913470	58.036359	-1.171881	3.779747	35.921681
123	393.972132	58.244031	-1.154022	3.778516	36.249888
125	396.031282	58.020698	-1.168903	3.776628	35.267545
127	398.091677	57.731135	-1.196161	3.778056	36.004431
129	400.151226	57.399423	-1.233556	3.777983	36.897701
131	402.211342	57.050938	-1.247733	3.777984	35.535336
133	404.271178	57.047119	-1.271888	3.776766	35.347578
135	406.331672	56.679521	-1.281975	3.776844	35.347389
137	408.392575	56.473256	-1.308627	3.777030	35.898990
139	410.453819	56.399951	-1.309487	3.776819	34.969360
141	412.514517	56.134259	-1.352435	3.777930	33.901405
143	414.575061	55.906479	-1.362607	3.776960	35.190112
145	416.636431	55.748070	-1.370927	3.776288	33.593941
147	418.697508	55.556078	-1.383328	3.775483	34.511868
149	420.758761	55.074717	-1.418008	3.775472	33.112434
151	422.819171	54.935896	-1.456519	3.774537	33.351771
153	424.880195	55.000400	-1.433515	3.773350	33.292566
155	426.940062	54.740013	-1.476827	3.773614	33.160847
157	429.000692	54.668132	-1.496445	3.772188	32.403154
159	431.059995	54.283620	-1.508158	3.771662	32.415700
161	433.120313	54.204391	-1.523322	3.773045	32.129703
163	435.179194	54.140538	-1.551303	3.772909	32.014520
165	437.238583	53.737706	-1.541564	3.773805	31.106618
167	439.297606	53.495542	-1.543127	3.773540	32.506109
169	441.356309	53.233842	-1.570614	3.773839	30.622162
171	443.414780	53.092418	-1.582739	3.773808	30.664815
173	445.474655	52.439799	-1.613659	3.773159	28.915821
175	447.533357	52.642623	-1.631564	3.772715	30.742315
177	449.593034	52.233944	-1.635896	3.772137	29.956355
179	451.652809	52.023814	-1.657623	3.771072	29.533131
181	453.712782	51.575364	-1.666092	3.770528	29.766602
183	455.773496	51.722336	-1.674511	3.770174	29.561740
185	457.833409	51.380442	-1.684882	3.769396	29.412176
