num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4801	80303.937616	61.376276	1.814645	0.528077	52.212654
4803	80306.001618	60.707316	1.816191	0.528377	52.319095
4805	80308.065274	60.531693	1.835972	0.527111	56.156028
4807	80310.130142	60.011072	1.807639	0.526290	49.769574
4809	80312.194096	59.772434	1.815904	0.527765	53.046308
4811	80314.258793	59.241215	1.813318	0.527958	50.784907
4813	80316.321930	58.961208	1.810605	0.528095	52.967854
4815	80318.387023	58.704663	1.801660	0.527714	48.684141
4817	80320.450368	58.164862	1.813228	0.528349	48.518798
4819	80322.514394	57.728188	1.821212	0.528567	48.059501
4821	80324.577829	57.434460	1.833630	0.528542	46.656505
4823	80326.641280	57.307324	1.830657	0.528977	48.252111
4825	80328.705003	56.827301	1.842619	0.529084	45.075742
4827	80330.768324	56.367316	1.845863	0.529523	46.250384
4831	80334.894451	55.475110	1.859229	0.529498	44.738939
4833	80336.957887	55.138126	1.858993	0.530174	42.892557
4835	80339.021469	54.701452	1.871372	0.530265	42.508759
4837	80341.084605	54.325099	1.866920	0.530246	44.806163
4839	80343.147313	53.973558	1.874850	0.530954	42.223234
4841	80345.211874	53.662693	1.867657	0.531075	41.694389
4843	80347.274775	53.231508	1.862137	0.531431	41.278368
4845	80349.338898	52.837893	1.865869	0.531486	41.553485
4847	80351.402328	52.492876	1.874781	0.531495	41.466134
4849	80353.466258	52.317152	1.865245	0.531675	40.663105
4851	80355.529309	51.887829	1.876171	0.531641	40.139609
4853	80357.593721	51.322420	1.874301	0.531898	39.954150
4855	80359.657089	51.268886	1.881310	0.532011	38.317332
4857	80361.720723	50.789675	1.884177	0.532272	38.095265
4859	80363.784423	50.292681	1.888486	0.532138	37.570479
4861	80365.847678	50.200463	1.885871	0.532548	35.959493
4863	80367.911148	49.831751	1.886945	0.533227	36.524239
4865	80369.974395	49.546127	1.878981	0.533112	36.216336
4867	80372.037717	49.037587	1.877895	0.534013	36.385229
4869	80374.101161	48.698032	1.882294	0.534277	35.313736
4871	80376.164515	48.270243	1.886203	0.535288	33.714997
4873	80378.227074	47.929813	1.875846	0.534786	34.428221
4875	80380.291089	47.759965	1.866891	0.535114	33.711179
4877	80382.355159	47.544983	1.886632	0.535224	32.870795
4879	80384.418424	47.028486	1.870353	0.534565	32.841835
4881	80386.482454	46.526276	1.874230	0.534585	30.919396
4883	80388.545806	46.322774	1.876341	0.534087	32.073345
4885	80390.610050	46.028054	1.876205	0.533152	31.721072
4887	80392.674117	45.732429	1.894545	0.532655	31.345045
4889	80394.737100	45.274162	1.885297	0.532548	31.206101
4891	80396.801416	45.100018	1.888609	0.532428	30.739346
4893	80398.865093	44.907528	1.886826	0.532995	29.063219
