crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	62.911739	4804	0.000000
281474976710655.000000	42.940678	4805	0.000000
281474976710655.000000	41.585140	4806	0.000000
281474976710655.000000	76.406586	4807	0.000000
281474976710655.000000	42.567871	4808	0.000000
281474976710655.000000	48.141872	4809	0.000000
281474976710655.000000	52.828579	4810	0.000000
281474976710655.000000	85.252831	4811	0.000000
281474976710655.000000	41.687527	4812	0.000000
281474976710655.000000	48.441463	4813	0.000000
281474976710655.000000	39.646645	4814	0.000000
281474976710655.000000	50.910870	4815	0.000000
281474976710655.000000	56.066490	4816	0.000000
281474976710655.000000	50.861557	4817	0.000000
281474976710655.000000	40.982910	4818	0.000000
281474976710655.000000	37.187290	4819	0.000000
281474976710655.000000	35.090149	4820	0.000000
281474976710655.000000	49.798325	4821	0.000000
281474976710655.000000	36.957211	4822	0.000000
281474976710655.000000	47.844711	4823	0.000000
281474976710655.000000	67.392624	4824	0.000000
281474976710655.000000	67.152855	4825	0.000000
281474976710655.000000	44.472565	4826	0.000000
281474976710655.000000	44.559723	4827	0.000000
281474976710655.000000	54.913452	4828	0.000000
281474976710655.000000	39.295048	4829	0.000000
281474976710655.000000	42.636791	4830	0.000000
281474976710655.000000	46.608421	4831	0.000000
281474976710655.000000	45.523705	4832	0.000000
281474976710655.000000	61.969543	4833	0.000000
281474976710655.000000	37.647778	4834	0.000000
281474976710655.000000	31.875599	4835	0.000000
281474976710655.000000	41.888622	4836	0.000000
281474976710655.000000	33.991615	4837	0.000000
281474976710655.000000	42.133797	4838	0.000000
281474976710655.000000	49.445435	4839	0.000000
281474976710655.000000	41.665051	4840	0.000000
281474976710655.000000	33.143856	4841	0.000000
281474976710655.000000	40.647465	4842	0.000000
281474976710655.000000	48.516075	4843	0.000000
281474976710655.000000	35.018280	4844	0.000000
281474976710655.000000	31.494373	4845	0.000000
281474976710655.000000	47.189201	4846	0.000000
281474976710655.000000	43.582458	4847	0.000000
281474976710655.000000	47.467274	4848	0.000000
281474976710655.000000	45.215618	4849	0.000000
281474976710655.000000	37.003059	4850	0.000000
281474976710655.000000	56.371788	4851	0.000000
281474976710655.000000	41.966633	4852	0.000000
281474976710655.000000	34.132282	4853	0.000000
281474976710655.000000	38.559723	4854	0.000000
281474976710655.000000	31.575684	4855	0.000000
281474976710655.000000	35.296612	4856	0.000000
281474976710655.000000	30.833405	4857	0.000000
281474976710655.000000	37.608891	4858	0.000000
281474976710655.000000	32.187256	4859	0.000000
281474976710655.000000	39.453415	4860	0.000000
281474976710655.000000	47.987949	4861	0.000000
281474976710655.000000	31.288006	4862	0.000000
281474976710655.000000	40.114281	4863	0.000000
281474976710655.000000	28.639954	4864	0.000000
281474976710655.000000	31.021734	4865	0.000000
281474976710655.000000	43.514503	4866	0.000000
281474976710655.000000	37.039410	4867	0.000000
281474976710655.000000	30.290438	4868	0.000000
281474976710655.000000	39.117401	4869	0.000000
281474976710655.000000	30.674459	4870	0.000000
281474976710655.000000	29.021801	4871	0.000000
281474976710655.000000	38.740440	4872	0.000000
281474976710655.000000	35.514141	4873	0.000000
281474976710655.000000	37.548687	4874	0.000000
281474976710655.000000	39.258316	4875	0.000000
281474976710655.000000	29.251884	4876	0.000000
281474976710655.000000	34.314018	4877	0.000000
281474976710655.000000	33.060642	4878	0.000000
281474976710655.000000	27.786465	4879	0.000000
281474976710655.000000	38.896515	4880	0.000000
281474976710655.000000	28.687656	4881	0.000000
281474976710655.000000	28.125109	4882	0.000000
281474976710655.000000	34.823864	4883	0.000000
281474976710655.000000	27.391665	4884	0.000000
281474976710655.000000	26.791559	4885	0.000000
281474976710655.000000	28.870970	4886	0.000000
281474976710655.000000	28.062216	4887	0.000000
281474976710655.000000	35.308556	4888	0.000000
281474976710655.000000	29.870483	4889	0.000000
281474976710655.000000	28.368469	4890	0.000000
281474976710655.000000	28.017084	4891	0.000000
281474976710655.000000	31.461943	4892	0.000000
281474976710655.000000	30.724897	4893	0.000000
281474976710655.000000	32.362553	4894	0.000000
281474976710655.000000	25.846319	4895	0.000000
281474976710655.000000	24.986105	4896	0.000000
281474976710655.000000	30.696373	4897	0.000000
281474976710655.000000	34.898994	4898	0.000000
281474976710655.000000	27.522978	4899	0.000000
281474976710655.000000	26.246927	4900	0.000000
281474976710655.000000	30.618765	4901	0.000000
281474976710655.000000	26.725706	4902	0.000000
281474976710655.000000	24.707054	4903	0.000000
281474976710655.000000	27.460165	4904	0.000000
281474976710655.000000	27.783316	4905	0.000000
281474976710655.000000	32.221897	4906	0.000000
281474976710655.000000	29.318052	4907	0.000000
281474976710655.000000	25.400492	4908	0.000000
281474976710655.000000	29.093189	4909	0.000000
281474976710655.000000	27.796307	4910	0.000000
281474976710655.000000	31.468138	4911	0.000000
281474976710655.000000	22.246845	4912	0.000000
281474976710655.000000	23.858103	4913	0.000000
281474976710655.000000	27.665756	4914	0.000000
281474976710655.000000	27.635338	4915	0.000000
281474976710655.000000	22.108259	4916	0.000000
281474976710655.000000	23.610546	4917	0.000000
281474976710655.000000	24.961340	4918	0.000000
281474976710655.000000	22.454815	4919	0.000000
281474976710655.000000	25.487738	4920	0.000000
281474976710655.000000	21.955343	4921	0.000000
281474976710655.000000	24.066820	4922	0.000000
281474976710655.000000	25.906811	4923	0.000000
281474976710655.000000	21.697647	4924	0.000000
281474976710655.000000	24.334248	4925	0.000000
281474976710655.000000	24.342497	4926	0.000000
281474976710655.000000	20.964233	4927	0.000000
281474976710655.000000	21.991987	4928	0.000000
281474976710655.000000	24.091988	4929	0.000000
281474976710655.000000	24.698132	4930	0.000000
281474976710655.000000	23.368338	4931	0.000000
281474976710655.000000	21.311819	4932	0.000000
281474976710655.000000	19.329868	4933	0.000000
281474976710655.000000	23.198053	4934	0.000000
281474976710655.000000	23.255695	4935	0.000000
281474976710655.000000	21.465828	4936	0.000000
281474976710655.000000	23.135101	4937	0.000000
281474976710655.000000	22.176592	4938	0.000000
281474976710655.000000	23.734135	4939	0.000000
281474976710655.000000	18.637297	4940	0.000000
281474976710655.000000	21.417971	4941	0.000000
281474976710655.000000	20.207140	4942	0.000000
281474976710655.000000	20.990219	4943	0.000000
281474976710655.000000	21.696247	4944	0.000000
281474976710655.000000	21.804922	4945	0.000000
281474976710655.000000	19.643398	4946	0.000000
281474976710655.000000	22.393194	4947	0.000000
281474976710655.000000	19.977543	4948	0.000000
281474976710655.000000	20.227877	4949	0.000000
281474976710655.000000	19.161301	4950	0.000000
281474976710655.000000	19.597895	4951	0.000000
281474976710655.000000	19.928539	4952	0.000000
281474976710655.000000	20.311434	4953	0.000000
281474976710655.000000	18.056074	4954	0.000000
281474976710655.000000	19.586924	4955	0.000000
281474976710655.000000	19.306065	4956	0.000000
281474976710655.000000	18.878258	4957	0.000000
281474976710655.000000	18.088068	4958	0.000000
281474976710655.000000	18.769661	4959	0.000000
281474976710655.000000	17.791437	4960	0.000000
281474976710655.000000	18.606813	4961	0.000000
281474976710655.000000	17.780998	4962	0.000000
281474976710655.000000	17.964317	4963	0.000000
281474976710655.000000	18.247725	4964	0.000000
281474976710655.000000	17.843679	4965	0.000000
281474976710655.000000	17.060572	4966	0.000000
281474976710655.000000	17.520947	4967	0.000000
281474976710655.000000	17.560856	4968	0.000000
281474976710655.000000	17.370468	4969	0.000000
281474976710655.000000	17.331522	4970	0.000000
281474976710655.000000	17.131067	4971	0.000000
281474976710655.000000	17.160295	4972	0.000000
281474976710655.000000	17.149548	4973	0.000000
281474976710655.000000	17.279034	4974	0.000000
281474976710655.000000	16.328238	4975	0.000000
281474976710655.000000	16.110031	4976	0.000000
281474976710655.000000	16.635086	4977	0.000000
281474976710655.000000	16.495308	4978	0.000000
281474976710655.000000	16.235985	4979	0.000000
281474976710655.000000	16.377970	4980	0.000000
281474976710655.000000	16.028173	4981	0.000000
281474976710655.000000	15.900797	4982	0.000000
281474976710655.000000	15.861852	4983	0.000000
281474976710655.000000	15.643510	4984	0.000000
281474976710655.000000	14.877059	4985	0.000000
281474976710655.000000	15.068755	4986	0.000000
281474976710655.000000	16.189981	4987	0.000000
281474976710655.000000	15.154238	4988	0.000000
281474976710655.000000	15.016024	4989	0.000000
281474976710655.000000	14.662156	4990	0.000000
281474976710655.000000	15.553439	4991	0.000000
281474976710655.000000	13.375666	4992	0.000000
281474976710655.000000	14.129448	4993	0.000000
281474976710655.000000	14.751197	4994	0.000000
281474976710655.000000	14.440661	4995	0.000000
281474976710655.000000	14.593304	4996	0.000000
281474976710655.000000	13.469537	4997	0.000000
281474976710655.000000	14.575011	4998	0.000000
281474976710655.000000	13.519363	4999	0.000000
281474976710655.000000	14.791224	5000	0.000000
281474976710655.000000	13.482150	5001	0.000000
281474976710655.000000	13.952783	5002	0.000000
281474976710655.000000	13.713275	5003	0.000000
281474976710655.000000	13.123823	5004	0.000000
281474976710655.000000	13.495772	5005	0.000000
281474976710655.000000	13.179193	5006	0.000000
281474976710655.000000	12.561209	5007	0.000000
281474976710655.000000	13.324782	5008	0.000000
281474976710655.000000	12.943196	5009	0.000000
281474976710655.000000	12.378923	5010	0.000000
281474976710655.000000	12.050326	5011	0.000000
281474976710655.000000	11.860033	5012	0.000000
281474976710655.000000	12.312076	5013	0.000000
281474976710655.000000	13.126053	5014	0.000000
281474976710655.000000	12.395191	5015	0.000000
281474976710655.000000	12.713030	5016	0.000000
281474976710655.000000	12.324415	5017	0.000000
281474976710655.000000	11.653648	5018	0.000000
281474976710655.000000	12.010384	5019	0.000000
281474976710655.000000	11.216413	5020	0.000000
281474976710655.000000	12.561203	5021	0.000000
281474976710655.000000	12.083799	5022	0.000000
281474976710655.000000	11.184379	5023	0.000000
281474976710655.000000	11.587875	5024	0.000000
281474976710655.000000	11.324591	5025	0.000000
281474976710655.000000	11.485801	5026	0.000000
281474976710655.000000	11.484679	5027	0.000000
281474976710655.000000	10.539601	5028	0.000000
281474976710655.000000	11.267713	5029	0.000000
281474976710655.000000	11.608334	5030	0.000000
281474976710655.000000	11.003955	5031	0.000000
281474976710655.000000	10.546867	5032	0.000000
281474976710655.000000	10.583652	5033	0.000000
281474976710655.000000	10.511364	5034	0.000000
281474976710655.000000	10.920877	5035	0.000000
