num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3161	78520.867677	56.844908	3.449187	3.649530	57.474945
3163	78522.932660	56.104597	3.428981	3.650313	59.197946
3165	78524.999793	55.425131	3.417398	3.650819	53.393023
3167	78527.066858	54.473070	3.413373	3.650581	55.584042
3169	78529.133283	54.431146	3.401820	3.649988	52.111076
3171	78531.199927	53.361066	3.411327	3.651051	50.635788
3173	78533.267281	52.747130	3.377836	3.650908	52.129814
3175	78535.333822	51.934931	3.391613	3.648941	51.149937
3177	78537.399998	51.269687	3.359416	3.650335	46.274314
3179	78539.468087	50.469225	3.355661	3.650923	46.662484
3181	78541.534323	49.684840	3.342729	3.652083	45.741778
3183	78543.602155	49.151039	3.342946	3.652654	43.495903
3185	78545.669199	48.399035	3.339602	3.654346	42.531656
3187	78547.737402	47.613350	3.318801	3.655249	41.184757
3189	78549.803639	47.297259	3.295917	3.656254	40.744832
3191	78551.870579	46.673768	3.284421	3.656514	39.804443
3193	78553.937153	46.152685	3.279095	3.656687	39.109366
3195	78556.003213	45.470183	3.257313	3.657126	37.340096
3197	78558.069219	44.845545	3.238933	3.656317	36.083782
3199	78560.135478	44.166847	3.221902	3.656204	36.110302
3201	78562.201394	43.631455	3.227695	3.655120	34.143140
3203	78564.267959	43.238793	3.198138	3.654366	33.250912
3205	78566.334251	42.420179	3.205608	3.654610	33.188142
3207	78568.400701	41.946431	3.178967	3.654736	31.372220
3209	78570.467358	41.319863	3.156159	3.655274	31.265058
3211	78572.533635	40.729745	3.124970	3.655274	30.368792
3213	78574.600117	40.316571	3.127173	3.655445	29.908031
3215	78576.667009	39.662560	3.098538	3.655436	29.712432
3217	78578.734966	39.046009	3.105227	3.657882	29.141768
3219	78580.800095	38.789048	3.044707	3.657317	27.374303
3221	78582.867499	37.881443	3.050625	3.658697	26.246137
3223	78584.935354	37.747720	3.011569	3.657169	26.259971
3225	78587.001148	37.017593	3.022855	3.659501	25.671439
3227	78589.067831	36.711788	2.973685	3.657978	24.588571
3229	78591.134374	36.115866	2.964693	3.658298	23.799276
3231	78593.199979	35.747504	2.936926	3.656611	22.534874
3233	78595.264527	35.300261	2.911641	3.657511	22.526792
3235	78597.331464	34.789557	2.893765	3.656304	21.879543
3237	78599.397193	34.151691	2.849906	3.656979	22.139351
3239	78601.462573	33.789364	2.824313	3.657098	20.249931
3241	78603.527946	33.280521	2.785158	3.657547	20.622108
3243	78605.593014	32.867279	2.764023	3.658296	18.902726
3245	78607.659264	32.353397	2.738456	3.657466	19.056734
3247	78609.727003	31.929428	2.708801	3.658342	18.414317
3249	78611.792376	31.440322	2.686269	3.657746	18.000248
3251	78613.858961	30.879633	2.667050	3.658578	17.000442
3253	78615.924774	30.511650	2.636194	3.659419	16.476222
3255	78617.990975	29.948344	2.616030	3.661207	16.519396
3257	78620.057929	29.822248	2.585130	3.657810	16.381522
3259	78622.124757	29.251103	2.571425	3.657796	15.439628
3261	78624.193016	28.779223	2.551367	3.659302	15.719542
3263	78626.259869	28.477641	2.521721	3.662833	14.727815
3265	78628.326961	28.001224	2.490334	3.662130	14.341966
3267	78630.395297	27.709377	2.465812	3.661300	13.954318
3269	78632.461447	27.321431	2.449140	3.662271	13.342181
3271	78634.528220	26.883669	2.429382	3.664091	12.991966
3273	78636.595645	26.541376	2.399524	3.661651	13.042780
3275	78638.661454	26.149612	2.384754	3.664546	12.379668
3279	78642.792973	25.529152	2.324298	3.660935	11.643555
3281	78644.859045	24.888939	2.310845	3.661096	11.295989
3283	78646.924463	24.812677	2.268799	3.660144	11.147198
3285	78648.990945	24.224886	2.269227	3.662643	11.006686
3287	78651.058302	23.929115	2.226985	3.664139	10.775785
3289	78653.124357	23.650076	2.216494	3.660171	10.798663
3291	78655.192901	23.380099	2.174123	3.661102	10.093929
3293	78657.257715	22.940277	2.159676	3.660551	8.989040
3295	78659.324739	22.591525	2.151269	3.661130	9.820897
3297	78661.391845	22.216012	2.131017	3.660203	9.285356
3299	78663.462199	22.094949	2.093122	3.663386	8.520771
3301	78665.525416	21.590834	2.083711	3.665893	7.977441
3303	78667.590670	21.407959	2.056473	3.661402	8.211678
3305	78669.659562	21.081852	2.047031	3.662826	8.523884
3307	78671.724818	20.930784	2.009269	3.664079	7.631197
3309	78673.790816	20.487813	2.006200	3.663935	7.862466
3311	78675.857104	20.221728	1.967073	3.664583	7.383180
3313	78677.923151	20.046236	1.954125	3.662565	6.766821
3315	78679.988868	19.807179	1.919216	3.659215	7.333858
3317	78682.051029	19.698365	1.879929	3.660931	6.389882
3319	78684.117361	19.294269	1.871072	3.662099	6.373893
3321	78686.182906	18.760092	1.872007	3.664187	6.304114
3323	78688.247753	18.613132	1.833747	3.663880	5.762156
3327	78692.381060	18.040307	1.790211	3.660880	5.925307
3329	78694.446595	17.973232	1.747832	3.660096	5.524048
3331	78696.508947	17.561365	1.748630	3.662348	5.515424
3333	78698.577754	17.276797	1.727032	3.667454	5.510985
3335	78700.644656	16.909630	1.709190	3.672984	5.210325
3337	78702.717498	16.710662	1.686218	3.666084	5.157936
