num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
7135	82893.117984	67.786456	1.335473	3.614648	55.173798
7137	82895.179468	67.353930	1.306616	3.613021	57.315979
7139	82897.238852	66.826524	1.420626	3.612862	52.732811
7141	82899.301458	66.700134	1.257950	3.611320	53.797758
7143	82901.361898	66.224065	1.299590	3.609967	52.849325
7145	82903.426118	65.762564	1.241035	3.611326	52.926936
7147	82905.488691	65.697392	1.434527	3.612534	52.750438
7149	82907.553494	65.549031	1.277873	3.611811	50.038971
7151	82909.617163	64.936779	1.342961	3.612645	52.132651
7153	82911.683075	64.922637	1.236873	3.611464	50.444054
7155	82913.746441	64.052154	1.280891	3.611373	51.601578
7157	82915.811772	64.235252	1.415462	3.609111	49.011832
7159	82917.874633	63.728119	1.396885	3.607214	50.017873
7161	82919.936946	63.569948	1.389749	3.606554	48.382841
7163	82921.997446	63.547346	1.430209	3.608342	50.473876
7165	82924.057617	63.466703	1.455939	3.607670	47.126256
7167	82926.115360	63.039907	1.460457	3.609050	49.678019
7169	82928.174509	62.843458	1.429821	3.610520	47.650565
7171	82930.232274	62.807578	1.440369	3.612474	48.276064
7173	82932.292295	62.273522	1.421640	3.613298	46.690790
7175	82934.350930	62.082278	1.430784	3.613597	48.384548
7177	82936.413087	61.627502	1.408600	3.613569	44.673055
7179	82938.473549	61.112988	1.442016	3.613132	46.548945
7181	82940.537350	61.040717	1.424915	3.613598	44.984667
7183	82942.600636	60.423097	1.388289	3.613817	46.935797
7185	82944.665823	60.034230	1.421924	3.614062	44.969704
7187	82946.730664	59.841148	1.440786	3.615850	45.279439
7189	82948.796790	59.380439	1.406013	3.617284	43.924272
7191	82950.862216	58.890227	1.371115	3.618824	45.706312
7193	82952.927305	59.233842	1.383675	3.621920	42.678409
7195	82954.991503	58.512231	1.361576	3.622606	43.765687
7197	82957.053680	58.416325	1.364910	3.623936	42.160001
7199	82959.115696	58.218207	1.374357	3.623760	41.575309
7201	82961.176224	58.270546	1.361499	3.623592	40.539624
7203	82963.235916	57.724897	1.386434	3.622562	40.525401
7205	82965.295106	57.701638	1.418790	3.621328	39.639676
7207	82967.354789	57.331671	1.375362	3.620085	40.061949
7209	82969.414861	57.084080	1.477587	3.619218	39.989639
7213	82973.535884	56.470016	1.473719	3.617576	38.265707
7215	82975.598492	56.286532	1.511476	3.617054	37.453153
7217	82977.660899	56.038406	1.524410	3.617296	38.024091
7219	82979.724280	55.645720	1.510544	3.617581	37.536919
7221	82981.787787	55.201619	1.526119	3.615944	37.528802
7223	82983.851822	54.953804	1.500058	3.615626	36.827361
7225	82985.916864	54.683043	1.473891	3.615945	36.823131
7227	82987.980491	54.600845	1.519838	3.614315	37.620919
7229	82990.044150	54.383222	1.539084	3.613327	35.519762
7231	82992.107242	54.258998	1.576195	3.612452	35.567454
7233	82994.168516	54.118888	1.607408	3.611949	35.269034
7235	82996.229650	53.739732	1.595549	3.611987	35.691498
7237	82998.288840	53.365927	1.601163	3.613101	35.210849
7239	83000.347712	53.361314	1.638139	3.613565	34.565744
7241	83002.405457	52.988101	1.617963	3.615275	35.532377
7243	83004.464533	52.986628	1.626415	3.615788	35.118882
7245	83006.523252	52.331976	1.591924	3.617023	34.228361
7247	83008.583586	52.132114	1.609871	3.617273	34.454573
7249	83010.644320	52.020543	1.602753	3.617377	34.802279
7251	83012.706302	51.515599	1.605994	3.618389	33.932004
7253	83014.769876	51.397900	1.578753	3.618217	34.156019
7255	83016.833251	50.723330	1.594175	3.619990	33.119718
7257	83018.898324	50.723018	1.607548	3.620052	32.880750
7259	83020.963667	50.383991	1.595717	3.622053	32.951120
7261	83023.029502	50.106184	1.585583	3.624376	32.471957
7263	83025.094367	49.867358	1.583475	3.625833	31.970657
7265	83027.158644	49.694522	1.569980	3.627460	31.465125
7267	83029.221761	49.525925	1.548080	3.629106	30.220520
7269	83031.283778	49.373492	1.530254	3.628454	30.485865
7271	83033.344214	49.188773	1.557543	3.627634	30.402538
7273	83035.404589	48.765296	1.595300	3.626821	30.037484
7275	83037.463405	48.564283	1.583368	3.625413	29.632955
7277	83039.523113	48.448635	1.565629	3.623672	28.032343
7279	83041.583893	48.203673	1.643366	3.623866	26.234915
7281	83043.642813	47.947800	1.630618	3.622748	28.535597
7283	83045.704480	47.571105	1.622747	3.622827	28.009088
7285	83047.766207	47.374010	1.648185	3.621796	27.785155
7287	83049.828433	47.191631	1.652418	3.620922	27.821303
7289	83051.892004	46.407025	1.664684	3.620938	27.975189
7291	83053.956208	46.701779	1.661358	3.619203	26.363635
7293	83056.020301	46.460462	1.692789	3.619553	27.081688
7295	83058.084167	46.085767	1.680245	3.618186	26.469221
7297	83060.147831	45.965258	1.698772	3.617373	26.947270
7299	83062.211242	46.145769	1.706790	3.617117	25.819478
7301	83064.273416	45.864067	1.742319	3.617019	25.922923
7303	83066.334130	45.491885	1.765706	3.617618	26.104010
7305	83068.393344	45.525803	1.776154	3.617190	26.203093
7307	83070.452684	45.341798	1.762942	3.618383	25.796668
7309	83072.510421	45.082995	1.746709	3.619286	25.396820
