num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3131	3872.643246	49.590897	-0.226070	3.744707	48.441955
3133	3874.709584	47.108880	-0.286062	3.747621	46.484546
3135	3876.777147	44.856616	-0.336941	3.749504	43.722470
3137	3878.847684	42.745943	-0.353072	3.747301	37.871211
3139	3880.918847	40.496069	-0.372867	3.743437	37.082900
3141	3882.988067	38.702953	-0.377842	3.741567	31.181299
3143	3885.060208	36.826063	-0.387845	3.737726	28.955375
3145	3887.130146	35.142505	-0.410135	3.735652	26.152761
3147	3889.202030	33.262688	-0.419425	3.731694	24.598619
3149	3891.276874	31.490564	-0.403776	3.734102	22.468707
3151	3893.355287	30.023000	-0.398681	3.738618	20.445440
3153	3895.432339	28.665091	-0.437512	3.745300	17.631586
3155	3897.505958	27.448432	-0.434524	3.745590	16.014832
3157	3899.577120	25.967967	-0.432895	3.741235	14.382489
3159	3901.646988	24.745784	-0.444670	3.737794	13.572816
3161	3903.717082	23.355613	-0.423042	3.732696	11.945359
3163	3905.788067	22.177638	-0.392507	3.732624	10.997766
3165	3907.862004	20.964122	-0.366640	3.727673	9.871788
3167	3909.940860	20.030047	-0.328119	3.722048	8.789765
