num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1367	76315.606142	63.568497	-1.379171	1.043410	78.076798
1369	76317.673323	62.641857	-1.361301	1.042748	72.195565
1371	76319.741414	61.509858	-1.379763	1.043342	69.446025
1373	76321.809389	60.390542	-1.394001	1.042335	67.655334
1375	76323.876142	59.391314	-1.404844	1.041417	66.148014
1377	76325.943825	58.354335	-1.379085	1.040637	62.821543
1379	76328.011684	57.831912	-1.403840	1.039613	64.372529
1381	76330.078755	56.673887	-1.390756	1.039394	61.238767
1383	76332.146930	55.659544	-1.414673	1.038467	58.948938
1385	76334.214046	54.967370	-1.396088	1.037889	56.725655
1387	76336.281212	54.444308	-1.399541	1.037190	55.436618
1389	76338.348499	53.196817	-1.398132	1.037598	53.008496
1391	76340.414867	52.192497	-1.400828	1.037107	51.425144
1393	76342.481998	51.557994	-1.406119	1.037507	50.795363
1395	76344.549616	50.686524	-1.411376	1.036717	45.459658
1397	76346.616173	49.894038	-1.420794	1.036072	48.104376
1399	76348.681493	49.265704	-1.389115	1.036544	44.810701
1401	76350.748076	48.000574	-1.383084	1.035280	44.346620
1403	76352.814074	47.390537	-1.388284	1.034934	41.614913
1405	76354.880233	46.592388	-1.375604	1.034197	41.690266
1407	76356.946547	45.912069	-1.371531	1.033257	38.733259
1409	76359.013734	45.089247	-1.352193	1.032195	39.266019
1411	76361.081220	44.300012	-1.353454	1.030781	37.748444
1413	76363.147299	43.710826	-1.308469	1.029174	34.996677
1415	76365.214185	42.933746	-1.338999	1.029645	34.327553
1417	76367.281549	42.086779	-1.298553	1.029237	33.689184
1419	76369.348626	41.264764	-1.296251	1.027858	32.038146
1421	76371.415985	40.587216	-1.305930	1.028353	30.784479
1423	76373.483189	39.923153	-1.313624	1.028567	30.821707
1425	76375.549844	39.314781	-1.284337	1.027466	28.492132
1427	76377.616427	38.514439	-1.284708	1.027851	28.583097
1429	76379.683817	37.805883	-1.271721	1.027939	28.716947
1431	76381.750813	37.126965	-1.259489	1.027490	26.006347
1433	76383.816126	36.549481	-1.227290	1.026678	26.557946
1435	76385.883845	35.609218	-1.227506	1.026331	25.063541
1437	76387.949932	35.303437	-1.231215	1.025459	23.456221
1439	76390.015272	34.692385	-1.222648	1.025242	24.631792
1441	76392.081367	34.157263	-1.207737	1.024783	23.124435
1445	76396.214285	32.813092	-1.198153	1.024835	21.648820
1447	76398.280748	32.398962	-1.174685	1.024836	21.071795
1449	76400.347252	31.831123	-1.164772	1.025364	19.636885
1451	76402.414004	31.173392	-1.150225	1.024991	19.242650
1453	76404.480458	30.681740	-1.145163	1.024752	18.099340
1455	76406.547056	30.073824	-1.133781	1.024099	18.068121
1457	76408.613686	29.671613	-1.122724	1.023479	17.240432
1459	76410.680216	28.994363	-1.117176	1.022270	16.728081
1461	76412.748107	28.351382	-1.097351	1.021038	15.974732
1463	76414.814054	27.908833	-1.086036	1.019834	15.304096
1465	76416.881789	27.364453	-1.084086	1.018937	14.950913
