num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1845	77052.676982	67.310120	1.122845	3.703913	76.126443
1847	77054.741882	66.590469	1.133636	3.704788	71.317116
1849	77056.807462	65.906158	1.118186	3.705913	74.495583
1851	77058.872046	65.212667	1.135909	3.705268	71.291230
1853	77060.937774	64.679624	1.139821	3.707859	71.111765
1855	77063.003092	63.973825	1.133656	3.707003	67.004394
1857	77065.069178	63.505940	1.132422	3.707805	66.964723
1859	77067.135193	62.980718	1.128850	3.707232	64.114441
1861	77069.200190	62.281153	1.129109	3.706466	65.875429
1863	77071.266674	61.725461	1.127453	3.707349	63.122518
1865	77073.332041	60.990711	1.134985	3.706407	63.632599
1867	77075.398319	60.404164	1.164045	3.706494	61.333233
1869	77077.464134	59.539851	1.163929	3.706594	60.790413
1871	77079.530873	59.142507	1.175492	3.706569	60.148283
1873	77081.597037	58.420649	1.174359	3.706692	55.822845
1875	77083.663157	57.797016	1.169107	3.708038	56.466110
1877	77085.729535	57.288417	1.192972	3.709022	55.506529
1879	77087.795572	56.712831	1.193539	3.709984	53.064509
1881	77089.861792	56.066965	1.192291	3.710104	54.091630
1883	77091.927100	55.669423	1.180592	3.710893	52.065009
1885	77093.992068	55.141073	1.201025	3.709589	50.734290
1887	77096.057932	54.580527	1.196698	3.708806	50.788782
1889	77098.122748	54.016973	1.192625	3.708294	50.744539
1891	77100.188103	53.301575	1.205406	3.707294	46.620141
1893	77102.253507	52.830943	1.217131	3.706701	47.219457
1895	77104.318202	52.203171	1.219437	3.707451	45.805185
1897	77106.384718	51.735413	1.230376	3.707127	44.483354
1899	77108.449954	51.279037	1.251440	3.706586	44.748967
1901	77110.515014	50.682459	1.219375	3.707051	42.010889
1903	77112.581042	49.977757	1.249007	3.707096	42.002591
1905	77114.646952	49.595799	1.255367	3.707105	41.109340
1907	77116.712635	49.112118	1.239843	3.707320	40.656799
1909	77118.778947	48.582709	1.253326	3.707423	40.572008
1911	77120.844719	48.117396	1.232418	3.708190	38.376191
1913	77122.910528	47.726998	1.238787	3.708016	37.816557
1915	77124.976621	46.978002	1.270676	3.707573	37.608485
1917	77127.042146	46.701715	1.275015	3.707831	38.025151
1919	77129.108483	45.960562	1.283420	3.708176	36.201518
1921	77131.174070	45.513040	1.285818	3.708753	35.285276
1923	77133.239810	45.094182	1.278825	3.708363	34.845290
1925	77135.304995	44.667460	1.262124	3.708415	33.499469
1927	77137.370164	44.196036	1.275904	3.707622	32.340740
1929	77139.435395	43.971346	1.268273	3.707507	32.495811
1931	77141.498657	43.378825	1.273358	3.707502	32.050685
1933	77143.563389	43.260778	1.272338	3.707866	30.641743
1935	77145.627972	42.439398	1.273003	3.707716	30.468218
1937	77147.693764	42.123258	1.270467	3.708025	30.005574
1939	77149.759391	41.564587	1.274930	3.707873	29.194897
1941	77151.824421	41.194356	1.267110	3.707234	28.274736
1943	77153.889709	40.746955	1.280344	3.706645	27.611279
1945	77155.955337	40.435611	1.267242	3.707741	27.866451
1947	77158.021049	39.850633	1.277943	3.707869	27.548090
1949	77160.087446	39.168814	1.273717	3.707553	27.165629
1951	77162.153515	38.822398	1.269057	3.707539	26.079581
1953	77164.219256	38.455156	1.270795	3.707971	25.955983
1955	77166.284915	37.961532	1.273441	3.708920	23.757856
1957	77168.351063	37.687000	1.273682	3.709737	25.032471
1959	77170.417096	37.212616	1.272219	3.710521	23.894377
1961	77172.483226	36.837383	1.275341	3.710901	24.417151
1963	77174.549091	36.550608	1.259627	3.711747	22.435405
1965	77176.614578	36.169915	1.274356	3.711302	23.161122
1967	77178.679622	35.702430	1.261148	3.711377	22.483108
1969	77180.744971	35.462137	1.250857	3.710575	20.965655
1971	77182.809172	35.092192	1.256822	3.709974	21.115052
1973	77184.874733	34.642255	1.264760	3.709179	20.535230
1975	77186.939819	34.001746	1.237325	3.707573	20.315999
1977	77189.004889	33.879775	1.232105	3.708433	20.398596
1979	77191.069362	33.346428	1.236785	3.706921	19.479174
1981	77193.134479	33.073629	1.239287	3.706912	18.800519
1983	77195.200043	32.615702	1.237598	3.707419	18.537241
1985	77197.263979	32.423044	1.230580	3.706845	18.197747
1987	77199.329664	31.870363	1.221841	3.706365	17.777331
1989	77201.391678	31.657595	1.226835	3.705858	17.385676
1991	77203.462523	31.102970	1.212069	3.706939	18.776904
1993	77205.526749	30.902876	1.206959	3.707313	16.882101
1995	77207.591576	30.610132	1.209369	3.705516	17.080447
1997	77209.659627	30.093624	1.185416	3.707235	15.992313
1999	77211.725500	29.928855	1.218936	3.710006	16.934718
2001	77213.791270	29.577003	1.198586	3.706496	16.186578
2003	77215.857259	29.202341	1.207217	3.706405	14.422125
2005	77217.921218	28.893230	1.199804	3.706537	13.911626
2007	77219.987269	28.601295	1.181097	3.707187	13.932286
2009	77222.050685	28.332031	1.171327	3.704402	13.518265
2011	77224.115961	28.077603	1.165653	3.704290	13.442635
2013	77226.181036	27.847195	1.160491	3.706520	13.445129
2015	77228.245887	27.336684	1.159261	3.706567	13.414309
2017	77230.311066	27.162182	1.151852	3.703728	13.115001
2019	77232.375614	26.780108	1.146806	3.704689	12.630600
2021	77234.440306	26.629225	1.132163	3.706846	12.319575
2023	77236.504555	26.224039	1.129989	3.705426	12.150989
2025	77238.571615	25.890672	1.121767	3.704700	13.546658
2027	77240.637568	25.596753	1.114560	3.704202	11.498399
2029	77242.703146	25.460127	1.123823	3.704543	10.895004
2031	77244.768119	25.138899	1.133618	3.706153	11.109939
2033	77246.833174	24.676731	1.106040	3.707377	10.592494
2035	77248.898841	24.556106	1.102140	3.706986	10.516257
2037	77250.965899	24.069516	1.098891	3.708614	9.801408
2039	77253.032268	23.845708	1.095268	3.707144	9.391379
2041	77255.098115	23.704498	1.078671	3.708437	9.116806
2043	77257.163054	23.294935	1.076292	3.708682	8.955647
2045	77259.228605	23.070629	1.069425	3.710969	9.033135
2047	77261.295402	22.779459	1.054476	3.710647	9.199990
2049	77263.361221	22.577178	1.065245	3.710432	8.936480
2051	77265.424260	22.253219	1.047938	3.707632	7.742159
2053	77267.489582	22.068276	1.061952	3.707616	8.875348
2055	77269.553729	21.756766	1.033240	3.712890	8.185095
2057	77271.618842	21.609695	1.038806	3.705034	7.893158
2059	77273.685730	21.208669	1.030680	3.709656	7.388495
2061	77275.749359	21.080618	1.016765	3.704102	7.590491
2063	77277.812861	20.823509	1.016058	3.704753	7.485234
2065	77279.878117	20.882165	1.005833	3.701776	7.645320
2067	77281.943872	20.397370	1.012478	3.704910	7.650097
2069	77284.008992	20.139547	1.004086	3.702212	6.677897
2071	77286.073468	19.903102	0.994572	3.704151	6.680030
2073	77288.138409	19.944626	0.992008	3.701050	6.500121
2075	77290.206866	19.463549	0.985166	3.702942	6.539124
2077	77292.272638	19.244624	0.995233	3.704547	6.482587
2079	77294.338719	18.860221	0.986008	3.705115	5.458407
2081	77296.401061	18.906086	0.976386	3.709270	5.719117
