crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	68.455780	2360	0.000000
281474976710655.000000	57.816582	2361	0.000000
281474976710655.000000	146.155289	2362	0.000000
281474976710655.000000	71.541939	2363	0.000000
281474976710655.000000	39.377838	2364	0.000000
281474976710655.000000	33.817738	2365	0.000000
281474976710655.000000	67.349190	2366	0.000000
281474976710655.000000	Inf	2367	0.000000
281474976710655.000000	71.977570	2368	0.000000
281474976710655.000000	67.680328	2369	0.000000
281474976710655.000000	65.368736	2370	0.000000
281474976710655.000000	42.148933	2371	0.000000
281474976710655.000000	47.744255	2372	0.000000
281474976710655.000000	135.154205	2373	0.000000
281474976710655.000000	51.087151	2374	0.000000
281474976710655.000000	32.502033	2375	0.000000
281474976710655.000000	61.261871	2376	0.000000
281474976710655.000000	48.016399	2377	0.000000
281474976710655.000000	103.241638	2378	0.000000
281474976710655.000000	42.704273	2379	0.000000
281474976710655.000000	43.126637	2380	0.000000
281474976710655.000000	60.678322	2381	0.000000
281474976710655.000000	59.287109	2382	0.000000
281474976710655.000000	58.547668	2383	0.000000
281474976710655.000000	59.831585	2384	0.000000
281474976710655.000000	45.213318	2385	0.000000
281474976710655.000000	59.768471	2386	0.000000
281474976710655.000000	56.527832	2387	0.000000
281474976710655.000000	38.302109	2388	0.000000
281474976710655.000000	37.386459	2389	0.000000
281474976710655.000000	41.029659	2390	0.000000
281474976710655.000000	58.075977	2391	0.000000
281474976710655.000000	41.447319	2392	0.000000
281474976710655.000000	43.998486	2393	0.000000
281474976710655.000000	45.306644	2394	0.000000
281474976710655.000000	52.222271	2395	0.000000
281474976710655.000000	86.842407	2396	0.000000
281474976710655.000000	52.322697	2397	0.000000
281474976710655.000000	59.540390	2398	0.000000
281474976710655.000000	38.645908	2399	0.000000
281474976710655.000000	51.292473	2400	0.000000
281474976710655.000000	48.650402	2401	0.000000
281474976710655.000000	70.582176	2402	0.000000
281474976710655.000000	39.821297	2403	0.000000
281474976710655.000000	54.919144	2404	0.000000
281474976710655.000000	36.977928	2405	0.000000
281474976710655.000000	46.352562	2406	0.000000
281474976710655.000000	56.027992	2407	0.000000
281474976710655.000000	52.760719	2408	0.000000
281474976710655.000000	38.389553	2409	0.000000
281474976710655.000000	38.809620	2410	0.000000
281474976710655.000000	45.748783	2411	0.000000
281474976710655.000000	62.920143	2412	0.000000
281474976710655.000000	57.352047	2413	0.000000
281474976710655.000000	54.789845	2414	0.000000
281474976710655.000000	48.666523	2415	0.000000
281474976710655.000000	37.006783	2416	0.000000
281474976710655.000000	42.977058	2417	0.000000
281474976710655.000000	36.382984	2418	0.000000
281474976710655.000000	41.134735	2419	0.000000
281474976710655.000000	53.551651	2420	0.000000
281474976710655.000000	40.571980	2421	0.000000
281474976710655.000000	33.695507	2422	0.000000
281474976710655.000000	39.496025	2423	0.000000
281474976710655.000000	33.902046	2424	0.000000
281474976710655.000000	33.071785	2425	0.000000
281474976710655.000000	30.723646	2426	0.000000
281474976710655.000000	45.200954	2427	0.000000
281474976710655.000000	31.671835	2428	0.000000
281474976710655.000000	32.078865	2429	0.000000
281474976710655.000000	43.777893	2430	0.000000
281474976710655.000000	30.493332	2431	0.000000
281474976710655.000000	31.736528	2432	0.000000
281474976710655.000000	26.851175	2433	0.000000
281474976710655.000000	31.197012	2434	0.000000
281474976710655.000000	34.873814	2435	0.000000
281474976710655.000000	34.448097	2436	0.000000
281474976710655.000000	42.352219	2437	0.000000
281474976710655.000000	27.697830	2438	0.000000
281474976710655.000000	41.025352	2439	0.000000
281474976710655.000000	36.422871	2440	0.000000
281474976710655.000000	32.615139	2441	0.000000
281474976710655.000000	28.537800	2442	0.000000
281474976710655.000000	25.721958	2443	0.000000
281474976710655.000000	26.892113	2444	0.000000
281474976710655.000000	27.219969	2445	0.000000
281474976710655.000000	33.839058	2446	0.000000
281474976710655.000000	28.146021	2447	0.000000
281474976710655.000000	25.919535	2448	0.000000
281474976710655.000000	25.593643	2449	0.000000
281474976710655.000000	26.105030	2450	0.000000
281474976710655.000000	31.278934	2451	0.000000
281474976710655.000000	29.994534	2452	0.000000
281474976710655.000000	30.963663	2453	0.000000
281474976710655.000000	25.162241	2454	0.000000
281474976710655.000000	30.853655	2455	0.000000
281474976710655.000000	30.467531	2456	0.000000
281474976710655.000000	23.760786	2457	0.000000
281474976710655.000000	27.851128	2458	0.000000
281474976710655.000000	29.986542	2459	0.000000
281474976710655.000000	29.711588	2460	0.000000
281474976710655.000000	23.389431	2461	0.000000
281474976710655.000000	22.636066	2462	0.000000
281474976710655.000000	23.249231	2463	0.000000
281474976710655.000000	25.909163	2464	0.000000
281474976710655.000000	25.259958	2465	0.000000
281474976710655.000000	21.628780	2466	0.000000
281474976710655.000000	25.843985	2467	0.000000
281474976710655.000000	27.129019	2468	0.000000
281474976710655.000000	23.897324	2469	0.000000
281474976710655.000000	25.849833	2470	0.000000
281474976710655.000000	20.587948	2471	0.000000
281474976710655.000000	23.337849	2472	0.000000
281474976710655.000000	22.337744	2473	0.000000
281474976710655.000000	24.273308	2474	0.000000
281474976710655.000000	21.967775	2475	0.000000
281474976710655.000000	21.593153	2476	0.000000
281474976710655.000000	24.806450	2477	0.000000
281474976710655.000000	22.447960	2478	0.000000
281474976710655.000000	21.384272	2479	0.000000
281474976710655.000000	20.899284	2480	0.000000
281474976710655.000000	22.639139	2481	0.000000
281474976710655.000000	20.221306	2482	0.000000
281474976710655.000000	19.429495	2483	0.000000
