num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2359	77602.938062	66.505046	-0.049582	0.515810	80.287987
2361	77605.005075	65.618290	-0.049135	0.515722	69.033607
2363	77607.070019	65.286449	-0.034650	0.515381	74.980594
2365	77609.136424	64.505127	-0.029611	0.514871	69.783252
2367	77611.201964	63.936869	-0.029590	0.515129	66.398891
2369	77613.266923	63.371903	0.007286	0.516587	71.225998
2371	77615.333087	62.794382	0.007554	0.515399	65.165978
2373	77617.398481	62.152391	0.013811	0.513715	64.051591
2375	77619.463006	61.747979	0.029548	0.514085	65.544515
2377	77621.528733	61.062648	0.027921	0.512761	60.975289
2379	77623.593474	60.299324	0.052206	0.512537	63.717477
2381	77625.658812	59.942382	0.050723	0.513034	60.945107
2383	77627.723026	59.173839	0.044721	0.513395	59.477773
2385	77629.787635	58.823277	0.108029	0.515503	59.091314
2387	77631.853345	58.100740	0.110877	0.516192	56.966770
2389	77633.917738	57.464324	0.114192	0.515798	55.536815
2391	77635.983161	56.865358	0.126468	0.515672	54.335841
2393	77638.048764	56.098564	0.153414	0.516519	52.859576
2395	77640.114658	55.621718	0.158010	0.514654	51.160825
2397	77642.180798	54.970558	0.187085	0.513647	51.612450
2399	77644.246832	54.592793	0.201276	0.513100	49.425083
2401	77646.312451	54.236692	0.197588	0.513075	49.275643
2403	77648.378144	53.641341	0.213131	0.513831	48.893333
2405	77650.444774	53.179668	0.225193	0.513544	47.408693
2407	77652.510338	52.482292	0.223472	0.513945	46.086612
2409	77654.575019	51.730228	0.235156	0.514460	46.363814
2411	77656.640770	51.426438	0.243115	0.513548	44.893223
2413	77658.706012	50.887403	0.243183	0.514035	46.811059
2415	77660.771097	50.390074	0.251574	0.513064	43.195327
2417	77662.835950	49.692765	0.244693	0.512617	43.172553
2419	77664.900669	49.427421	0.251064	0.512379	42.245938
2421	77666.965454	48.895223	0.270009	0.512094	41.389365
2423	77669.029786	48.436461	0.284835	0.511543	39.850801
2425	77671.093931	47.702987	0.284478	0.511231	39.658268
2427	77673.158915	47.250142	0.296638	0.511419	38.418660
2429	77675.222539	46.714972	0.291047	0.511535	36.712815
2431	77677.288219	46.206109	0.317380	0.511745	36.582255
2433	77679.354458	45.492405	0.320984	0.511761	35.346017
2435	77681.419156	45.204015	0.318380	0.511321	34.079553
2437	77683.484585	44.596086	0.320969	0.510988	35.734215
2439	77685.550564	44.230060	0.317009	0.510289	33.898897
2441	77687.615970	43.693251	0.316815	0.509950	33.185377
2443	77689.681882	43.106447	0.333943	0.509279	32.356631
2445	77691.748843	42.790977	0.326420	0.509623	30.609943
2447	77693.812395	42.280539	0.342997	0.509691	31.804113
2449	77695.878773	41.825255	0.360888	0.509148	29.740048
2451	77697.943989	41.568125	0.376532	0.509762	29.742146
2453	77700.009484	40.971025	0.368729	0.508822	29.557126
2455	77702.074213	40.654236	0.395041	0.508588	29.298907
2457	77704.139227	40.211894	0.391935	0.508900	28.318920
2459	77706.203620	39.791302	0.407866	0.508922	27.766122
2461	77708.268170	39.412254	0.415272	0.508755	27.292204
2463	77710.332018	39.082789	0.431108	0.509712	24.948680
2465	77712.397052	38.454786	0.440907	0.511670	26.096630
2467	77714.460544	38.110467	0.444929	0.511965	24.965840
2469	77716.526023	37.694003	0.447008	0.514575	24.861808
2471	77718.588981	37.505666	0.458011	0.513361	24.221668
2473	77720.653582	36.846242	0.466098	0.513776	23.338488
2475	77722.719387	36.379237	0.464004	0.513006	23.507023
2477	77724.784109	36.185842	0.476655	0.511549	22.757801
2479	77726.849385	35.603951	0.483676	0.510719	22.505108
2481	77728.915231	35.349487	0.484712	0.509699	21.948246
2483	77730.981349	34.780919	0.487560	0.509244	21.864082
2485	77733.047618	34.544290	0.494592	0.509069	20.785756
2487	77735.112505	34.287369	0.496590	0.508011	20.217386
2489	77737.177702	33.896186	0.497555	0.507816	19.980563
2491	77739.243407	33.597586	0.497416	0.509098	19.474920
2493	77741.308854	33.158267	0.494242	0.509063	19.955170
2495	77743.373888	32.903656	0.507062	0.507235	18.616429
2497	77745.438093	32.485748	0.507326	0.506592	19.135791
2499	77747.505304	32.121665	0.514621	0.506126	17.602727
2501	77749.566900	31.814823	0.515517	0.507697	17.734186
2503	77751.631685	31.494304	0.514491	0.508707	17.804178
2505	77753.697188	30.933022	0.521412	0.508205	17.174711
2507	77755.759274	30.722208	0.526797	0.507743	16.432561
2509	77757.824253	30.304432	0.530912	0.505550	15.975655
