num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4547	80035.183722	63.853370	0.737954	0.508670	60.064637
4549	80037.247155	63.765509	0.735350	0.508122	60.932545
4551	80039.311685	63.150548	0.771743	0.507164	56.203925
4553	80041.374724	62.588623	0.742170	0.508230	59.624564
4555	80043.439143	62.518397	0.773560	0.506998	54.243179
4557	80045.502498	62.074475	0.785056	0.507537	56.073177
4559	80047.567015	61.800815	0.784322	0.506753	54.639273
4561	80049.630153	61.355942	0.788503	0.507368	55.323470
4563	80051.694171	60.696339	0.789796	0.506025	53.064022
4565	80053.757864	60.396080	0.791904	0.507500	53.046475
4567	80055.821945	59.971047	0.808352	0.506681	53.330024
4569	80057.885391	59.605455	0.805256	0.507000	51.239352
4571	80059.948940	59.500753	0.834830	0.507649	52.712524
4573	80062.012952	59.118043	0.820427	0.506657	49.337936
4575	80064.076184	58.256969	0.846687	0.506417	50.347288
4577	80066.139733	58.013495	0.829562	0.507216	50.328283
4579	80068.202909	57.671657	0.847717	0.507075	47.112506
4581	80070.266292	57.383979	0.860661	0.506725	48.958572
4583	80072.330304	56.868375	0.864221	0.506845	46.361228
4585	80074.393629	56.319180	0.892037	0.507832	45.754088
4587	80076.457590	56.188342	0.871779	0.508032	47.796517
4589	80078.520072	55.536108	0.890715	0.508447	47.153621
4591	80080.584271	55.374570	0.890979	0.508436	44.648064
4593	80082.646157	54.849453	0.910807	0.508491	44.557365
4595	80084.711009	54.671905	0.886878	0.508438	44.514132
4597	80086.774925	54.283294	0.899173	0.508364	44.732622
4599	80088.838476	53.786875	0.910287	0.508315	43.094238
4601	80090.902204	53.525685	0.906293	0.508499	42.784912
4603	80092.965843	53.172424	0.918776	0.508166	41.579403
4605	80095.029562	52.826380	0.938793	0.508577	40.707597
4607	80097.093322	52.486235	0.934484	0.508714	40.924633
4609	80099.156919	52.222216	0.945424	0.509047	39.617442
4611	80101.219608	51.822687	0.963719	0.508961	40.364196
4613	80103.283327	51.289563	0.973188	0.509318	40.032383
4615	80105.347009	50.906816	0.961423	0.509326	38.270427
4617	80107.410606	50.597271	0.975145	0.509409	39.606020
4619	80109.473770	50.177543	0.986489	0.509354	37.691538
4621	80111.537236	50.022342	0.988760	0.509497	36.115373
4623	80113.601344	49.583040	0.994136	0.509147	35.043504
4625	80115.664888	49.548602	1.010375	0.508809	35.865834
4627	80117.728445	48.963311	1.019410	0.508785	34.757075
4629	80119.792888	48.536444	1.032315	0.508520	32.967070
4631	80121.855791	48.302216	1.032632	0.507877	35.444560
4633	80123.919873	47.907493	1.022557	0.507971	34.014363
4635	80125.983262	47.668335	1.040172	0.507835	33.801674
4637	80128.047244	47.334483	1.043771	0.507373	32.718614
4639	80130.110874	47.083478	1.059773	0.507425	33.096010
4641	80132.174343	46.453314	1.070050	0.507386	32.544988
4643	80134.238615	46.139904	1.072903	0.506977	31.825917
4645	80136.301477	46.037714	1.078780	0.507628	31.720814
4647	80138.365723	45.745034	1.086937	0.507022	31.065800
4649	80140.427854	45.390560	1.086377	0.508301	30.494282
4651	80142.491775	45.018042	1.090001	0.507664	30.212060
4653	80144.554738	44.973715	1.103296	0.508032	29.985729
4655	80146.618243	44.528321	1.104117	0.508093	29.404113
4657	80148.681099	44.085180	1.110720	0.507958	29.106377
4659	80150.744301	43.972531	1.120150	0.508126	28.931205
4661	80152.807007	43.526358	1.118833	0.508973	28.872602
4663	80154.871235	43.165987	1.118215	0.507987	28.460130
4665	80156.934627	42.956019	1.123211	0.508634	27.415585
4667	80158.997045	42.404629	1.131040	0.508864	26.606558
4669	80161.060498	42.290887	1.129708	0.508550	26.442228
4671	80163.123987	42.028737	1.135817	0.508834	26.466177
4673	80165.187303	41.627294	1.141392	0.508657	25.665540
4675	80167.251196	41.358863	1.156589	0.510021	25.727287
4677	80169.313699	40.849623	1.136694	0.509452	25.675910
4679	80171.377117	40.912774	1.157671	0.509120	24.908902
4681	80173.440919	40.575113	1.154187	0.509846	24.960910
4683	80175.504381	40.151606	1.161736	0.509556	24.640742
4685	80177.567490	39.942121	1.167121	0.510112	24.465443
4687	80179.630464	39.838751	1.158085	0.509917	23.923368
4689	80181.694158	39.382825	1.172500	0.510055	24.105199
4691	80183.757640	39.024056	1.166894	0.510084	22.890081
4693	80185.821329	38.796178	1.178509	0.509774	23.128890
4695	80187.884318	38.456247	1.164518	0.508895	22.942014
4697	80189.947026	38.255176	1.171965	0.509944	22.414897
4699	80192.010870	37.725596	1.188862	0.511863	21.611349
4701	80194.073372	37.817320	1.193070	0.510106	21.606314
4703	80196.137104	37.310956	1.205285	0.509992	21.349070
4705	80198.200744	37.203840	1.201790	0.509354	20.768727
4707	80200.264286	36.911146	1.204323	0.509923	20.786145
4709	80202.327049	36.553196	1.208958	0.510205	20.335284
4711	80204.391198	36.675236	1.212436	0.509220	20.455114
4713	80206.454452	36.095932	1.204095	0.510041	20.076249
4715	80208.518217	35.808577	1.225847	0.508659	19.778314
4717	80210.580573	35.804760	1.220808	0.508572	19.088209
4719	80212.645710	35.467380	1.228016	0.508326	19.152807
4721	80214.708005	35.322393	1.219669	0.507845	18.741909
4723	80216.771875	34.868172	1.223099	0.508438	18.472290
4725	80218.835553	34.601634	1.229265	0.507810	17.913247
4727	80220.897662	34.630108	1.213927	0.508314	17.978840
4729	80222.960503	34.202893	1.204529	0.507737	18.286747
4731	80225.025255	34.012507	1.220808	0.508036	17.614173
4733	80227.087929	33.657429	1.220399	0.508615	16.683573
4735	80229.151006	33.547475	1.218449	0.508684	16.652037
4737	80231.213751	33.316460	1.229483	0.509397	16.819804
4739	80233.276873	33.167251	1.214419	0.508299	16.478075
4741	80235.339777	32.645431	1.225054	0.508783	16.233487
4743	80237.402248	32.509434	1.211245	0.507537	16.244703
4745	80239.464752	32.501190	1.234981	0.508088	15.694285
4747	80241.528385	31.933303	1.223132	0.508226	15.797642
4749	80243.589751	31.811232	1.228548	0.508222	15.582716
4751	80245.653734	31.550649	1.224569	0.508574	15.505228
4753	80247.718738	31.387219	1.233016	0.508757	15.010863
4755	80249.780118	31.227560	1.215896	0.510547	14.782665
4757	80251.843858	30.939096	1.218678	0.509233	14.432445
4759	80253.905145	30.663861	1.219504	0.508052	14.413290
4761	80255.969890	30.493450	1.218870	0.508866	14.046690
4763	80258.032649	30.260366	1.214877	0.509132	13.721794
4765	80260.096217	29.989215	1.208751	0.507939	13.593301
4767	80262.159471	29.877199	1.211695	0.508094	13.250895
4769	80264.222902	29.764686	1.210589	0.509388	13.604197
4771	80266.285434	29.280518	1.210885	0.508925	13.413776
4773	80268.349749	29.093581	1.228314	0.506355	13.546468
4775	80270.412350	29.069190	1.215397	0.509065	13.111757
4777	80272.475100	28.584031	1.223589	0.509460	12.720894
4779	80274.537327	28.408176	1.208799	0.509212	13.016289
4781	80276.601376	28.311136	1.213718	0.507145	11.754212
4783	80278.663834	28.043679	1.209642	0.508504	12.135401
4785	80280.725078	27.912773	1.212726	0.508783	11.812294
4787	80282.788695	27.599966	1.230806	0.508003	11.652132
