num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1677	2048.641105	68.371792	0.343167	3.688813	44.537991
1679	2050.703137	68.286632	0.316629	3.686335	45.673966
1681	2052.766301	68.223805	0.261379	3.683385	48.007386
1683	2054.828219	67.952024	0.256466	3.679684	48.169413
1685	2056.891129	67.846617	0.241864	3.677633	45.138235
1687	2058.952557	67.617816	0.260208	3.675687	48.366299
1689	2061.011919	67.479763	0.245516	3.675797	44.554677
1691	2063.068899	67.437463	0.256432	3.676715	47.171480
1693	2065.127269	67.203612	0.195536	3.676969	46.651551
1695	2067.185722	66.957379	0.179001	3.678459	44.961830
1697	2069.244333	66.604377	0.128465	3.679029	43.268966
1699	2071.304043	66.354564	0.100636	3.678297	43.474885
1701	2073.363808	66.271024	0.107542	3.679702	43.997548
1703	2075.424324	65.876850	0.058958	3.679662	44.570884
1705	2077.484381	65.967247	0.015617	3.682262	44.406312
1707	2079.544710	65.547072	-0.000401	3.683810	44.516363
1709	2081.603932	65.353739	-0.041312	3.684967	42.348856
1711	2083.662554	65.058448	-0.082154	3.685927	41.180522
1713	2085.719612	65.521688	-0.125967	3.682437	42.069326
1715	2087.774501	65.141847	-0.131851	3.678955	41.931069
1717	2089.830691	64.862729	-0.126699	3.675503	41.030293
1719	2091.886645	64.346333	-0.127969	3.673056	40.871449
1721	2093.943835	63.775941	-0.143164	3.672712	41.317346
1723	2096.003713	63.559661	-0.121740	3.673567	41.730340
1725	2098.066104	63.733898	-0.162063	3.674763	41.296427
1727	2100.128034	63.674933	-0.197355	3.676444	39.959833
1729	2102.190084	62.988866	-0.215528	3.675127	40.499081
1731	2104.252604	62.924239	-0.248227	3.676947	38.549891
1733	2106.313044	62.965700	-0.288633	3.676281	40.246008
1735	2108.373905	62.871882	-0.313422	3.676421	38.188786
1737	2110.433241	62.493961	-0.333817	3.676580	39.417377
1739	2112.492628	62.232706	-0.333296	3.674034	38.424272
1741	2114.552039	61.989754	-0.356187	3.673231	38.993399
1743	2116.610666	61.931274	-0.387684	3.672362	38.941316
1745	2118.669099	62.006477	-0.386305	3.672684	38.383673
1747	2120.726186	61.600670	-0.416107	3.669872	37.417314
1749	2122.783151	61.676618	-0.434702	3.671624	38.988670
1751	2124.839352	61.420324	-0.467433	3.673611	37.530558
1753	2126.894860	61.218708	-0.490956	3.676570	36.940643
1755	2128.952076	60.899506	-0.495832	3.677503	36.729551
1757	2131.009252	60.584210	-0.544987	3.680360	36.686094
1759	2133.068456	60.291445	-0.579238	3.678512	36.208628
1761	2135.129905	59.801754	-0.599027	3.676079	36.563197
1763	2137.192478	59.442828	-0.649512	3.674004	36.700026
1765	2139.254815	59.427154	-0.639476	3.671717	34.070908
1767	2141.317351	59.293061	-0.629137	3.670520	35.193356
1769	2143.378466	59.189809	-0.641923	3.669610	35.117515
1771	2145.439352	59.129337	-0.677550	3.669926	34.909759
1773	2147.499115	58.886380	-0.700915	3.668372	34.886754
1775	2149.558574	58.717107	-0.723451	3.669018	34.873028
1777	2151.617300	58.417940	-0.743005	3.670279	34.871160
1779	2153.676455	58.305801	-0.755805	3.669601	33.966123
1781	2155.735743	58.137715	-0.799539	3.670008	33.496743
1783	2157.794734	58.075574	-0.799952	3.670252	34.108766
1785	2159.854326	57.965959	-0.823254	3.671197	34.287998
1787	2161.912968	57.592795	-0.851732	3.672436	33.983214
1789	2163.971740	57.540811	-0.850056	3.673292	34.210809
1791	2166.031195	57.386150	-0.898347	3.672203	32.906478
1793	2168.088285	57.071576	-0.910248	3.670573	33.289820
1795	2170.145340	57.126615	-0.941593	3.669789	33.304213
1797	2172.200104	56.929954	-0.963025	3.666749	32.497883
1799	2174.257499	56.641647	-0.932580	3.663862	32.142675
1801	2176.312255	56.405026	-0.979573	3.662014	33.175394
1803	2178.369417	56.145233	-0.991789	3.660458	31.766161
1805	2180.428976	55.636436	-0.989856	3.659167	32.408526
1807	2182.487085	55.560643	-1.004081	3.661522	31.912737
1809	2184.548542	55.203410	-1.020957	3.663066	31.592394
1811	2186.609896	55.447281	-1.061786	3.662456	31.419263
1813	2188.672473	55.038218	-1.051454	3.662088	30.855147
