num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1025	1361.593510	58.426998	1.031981	3.717337	33.603580
1027	1363.655152	58.072149	0.990648	3.718933	33.229072
1029	1365.718244	57.920942	0.937995	3.719435	34.495175
1031	1367.779458	57.957609	0.927691	3.721513	34.938404
1033	1369.840749	57.483957	0.896874	3.723327	36.738914
1035	1371.902666	57.414610	0.821031	3.723096	33.389106
1037	1373.963513	57.238157	0.799696	3.722525	31.887035
1039	1376.022949	57.251735	0.782779	3.722492	31.865617
1041	1378.083363	56.886582	0.757634	3.721107	33.062005
1043	1380.140467	56.681058	0.735144	3.719844	32.559700
1045	1382.198636	56.435266	0.718058	3.720371	32.762862
1047	1384.257120	56.452195	0.705393	3.718103	32.027847
1049	1386.315371	56.290595	0.676545	3.718468	32.148445
1051	1388.370913	56.262471	0.665624	3.721234	31.306710
1053	1390.427918	56.210908	0.640370	3.722147	31.021007
1055	1392.482700	55.654456	0.629147	3.725964	32.131492
1057	1394.538956	55.237595	0.586333	3.727732	30.827255
1059	1396.596639	55.095398	0.527946	3.727269	30.218307
1061	1398.656375	54.778183	0.506797	3.727108	30.696738
1063	1400.717006	54.377433	0.497764	3.723974	30.705962
1065	1402.778963	54.373653	0.479169	3.721632	29.818575
1067	1404.841993	54.122407	0.421643	3.720412	30.587166
1069	1406.905007	53.858055	0.418808	3.718940	29.741124
1071	1408.966453	53.853144	0.386522	3.717564	30.018646
1073	1411.027117	53.767320	0.374478	3.717558	29.722033
1075	1413.087048	53.867287	0.372124	3.717277	29.420280
1077	1415.145359	53.681021	0.363703	3.717843	28.808955
1079	1417.204445	53.090555	0.323587	3.718785	28.878942
1081	1419.263544	53.422661	0.312581	3.718938	28.643449
1083	1421.322538	52.953681	0.264337	3.720463	28.849929
1085	1423.381132	53.013177	0.255061	3.720494	27.030639
1087	1425.440516	52.756483	0.214602	3.720915	28.369701
1089	1427.500037	52.378105	0.202621	3.722675	28.757931
1091	1429.559848	52.337360	0.175231	3.722673	27.521640
1093	1431.619121	52.261522	0.153235	3.723594	27.730549
1095	1433.676041	52.073207	0.124941	3.724009	27.477253
1097	1435.733187	51.955708	0.119864	3.722176	27.159683
1099	1437.788416	51.881982	0.092897	3.719795	27.350771
1101	1439.843746	51.697298	0.036270	3.715968	27.335783
1103	1441.899818	51.378700	0.064378	3.713281	26.831595
1105	1443.955807	51.285586	0.010845	3.710899	26.663652
1107	1446.011638	50.900501	0.153226	3.711817	27.012442
1109	1448.071221	50.742379	0.172293	3.712062	26.128544
1111	1450.130190	50.811471	0.145993	3.712904	27.089065
1113	1452.191533	50.380025	0.116324	3.713050	25.231168
1115	1454.253666	49.992150	0.094440	3.713565	25.837221
1117	1456.314075	49.743463	0.061611	3.713888	26.452209
1119	1458.375269	49.731739	0.044322	3.714646	25.389866
