crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	32.816814	1026	0.000000
281474976710655.000000	38.306030	1027	0.000000
281474976710655.000000	34.055538	1028	0.000000
281474976710655.000000	30.640285	1029	0.000000
281474976710655.000000	31.040813	1030	0.000000
281474976710655.000000	37.832134	1031	0.000000
281474976710655.000000	30.158348	1032	0.000000
281474976710655.000000	30.351248	1033	0.000000
281474976710655.000000	31.689960	1034	0.000000
281474976710655.000000	34.848412	1035	0.000000
281474976710655.000000	32.996662	1036	0.000000
281474976710655.000000	32.334892	1037	0.000000
281474976710655.000000	31.128685	1038	0.000000
281474976710655.000000	32.404823	1039	0.000000
281474976710655.000000	35.520798	1040	0.000000
281474976710655.000000	28.529634	1041	0.000000
281474976710655.000000	41.644791	1042	0.000000
281474976710655.000000	28.793055	1043	0.000000
281474976710655.000000	36.436787	1044	0.000000
281474976710655.000000	39.558132	1045	0.000000
281474976710655.000000	30.264948	1046	0.000000
281474976710655.000000	34.608849	1047	0.000000
281474976710655.000000	32.888378	1048	0.000000
281474976710655.000000	33.742771	1049	0.000000
281474976710655.000000	39.019485	1050	0.000000
281474976710655.000000	35.444630	1051	0.000000
281474976710655.000000	30.225578	1052	0.000000
281474976710655.000000	26.185804	1053	0.000000
281474976710655.000000	34.305119	1054	0.000000
281474976710655.000000	36.519505	1055	0.000000
281474976710655.000000	26.778921	1056	0.000000
281474976710655.000000	30.085112	1057	0.000000
281474976710655.000000	28.460606	1058	0.000000
281474976710655.000000	27.898340	1059	0.000000
281474976710655.000000	27.678944	1060	0.000000
281474976710655.000000	33.868568	1061	0.000000
281474976710655.000000	34.565090	1062	0.000000
281474976710655.000000	26.475504	1063	0.000000
281474976710655.000000	32.518486	1064	0.000000
281474976710655.000000	29.419662	1065	0.000000
281474976710655.000000	34.684799	1066	0.000000
281474976710655.000000	28.369387	1067	0.000000
281474976710655.000000	25.554056	1068	0.000000
281474976710655.000000	26.026709	1069	0.000000
281474976710655.000000	34.445141	1070	0.000000
281474976710655.000000	34.281868	1071	0.000000
281474976710655.000000	34.781025	1072	0.000000
281474976710655.000000	32.009960	1073	0.000000
281474976710655.000000	31.685160	1074	0.000000
281474976710655.000000	32.884235	1075	0.000000
281474976710655.000000	28.583263	1076	0.000000
281474976710655.000000	28.646984	1077	0.000000
281474976710655.000000	33.091816	1078	0.000000
281474976710655.000000	25.137703	1079	0.000000
281474976710655.000000	26.436926	1080	0.000000
281474976710655.000000	29.040855	1081	0.000000
281474976710655.000000	31.082230	1082	0.000000
281474976710655.000000	30.267498	1083	0.000000
281474976710655.000000	31.682852	1084	0.000000
281474976710655.000000	24.595438	1085	0.000000
281474976710655.000000	29.933100	1086	0.000000
281474976710655.000000	35.152206	1087	0.000000
281474976710655.000000	31.169376	1088	0.000000
281474976710655.000000	28.455832	1089	0.000000
