num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5383	81047.414348	61.158290	0.199183	0.417207	50.806542
5385	81049.489801	60.701409	0.195648	0.426272	50.719837
5387	81051.564990	60.409252	0.152585	0.432624	52.481903
5389	81053.635781	60.464783	0.101398	0.439325	48.610659
5391	81055.699029	60.484606	0.111892	0.443146	49.393728
5393	81057.757796	60.582862	0.117978	0.438161	49.014263
5395	81059.812980	60.175832	0.144841	0.432101	46.698250
5397	81061.869206	60.079021	0.175896	0.427152	47.130159
5399	81063.924886	59.469269	0.200485	0.425258	47.554329
5401	81065.983965	59.078790	0.209283	0.423657	46.003463
5403	81068.044082	58.607040	0.222436	0.424935	46.592016
5405	81070.105949	58.261940	0.230222	0.426582	45.847850
5407	81072.169684	57.485295	0.244042	0.428299	44.795547
5409	81074.234687	57.146418	0.247836	0.428630	44.203319
5411	81076.302168	56.968712	0.245379	0.427763	42.997054
5413	81078.371040	56.580458	0.247690	0.425967	44.473073
5415	81080.442068	56.238337	0.207755	0.421164	43.125147
5417	81082.511694	56.007269	0.236799	0.415906	43.902360
5419	81084.579284	55.726830	0.260609	0.412371	42.753693
5421	81086.642327	55.834835	0.307566	0.409673	40.772092
5423	81088.699138	55.792245	0.343248	0.412393	40.839188
5425	81090.750705	55.881750	0.405049	0.421738	40.207165
5427	81092.800830	55.361827	0.376603	0.434728	40.148843
5429	81094.854228	54.533254	0.391950	0.444973	37.979739
5431	81096.912288	54.047827	0.361251	0.447326	39.949714
5433	81098.978113	53.596642	0.295090	0.442381	38.886259
5435	81101.050144	52.952600	0.294963	0.433182	38.747506
5437	81103.124215	52.505520	0.298907	0.424746	38.791883
5439	81105.196121	52.451659	0.290263	0.420581	37.915642
5441	81107.267113	52.639706	0.374638	0.420185	38.115916
5443	81109.332198	52.243477	0.385666	0.420319	37.440739
5445	81111.396880	52.006785	0.388975	0.419945	36.936256
5447	81113.458793	51.938476	0.388426	0.424683	37.078649
5449	81115.522403	51.557771	0.392521	0.427423	36.391433
5451	81117.584513	51.284210	0.403197	0.430767	37.376206
5453	81119.646726	51.000317	0.387379	0.431902	34.639194
5455	81121.706631	51.048692	0.422100	0.433493	34.429366
5457	81123.762664	51.197273	0.388374	0.433041	34.584061
5459	81125.817426	50.708358	0.378530	0.429038	33.538529
5461	81127.869076	50.395047	0.351264	0.422998	33.450968
5463	81129.923068	49.988884	0.366527	0.415402	33.415114
5465	81131.978374	49.344963	0.355026	0.411689	31.895228
5467	81134.040155	48.629374	0.376613	0.410640	32.349547
5469	81136.107219	48.134971	0.440866	0.414612	31.970714
5471	81138.179190	47.816014	0.513937	0.421240	32.348752
5473	81140.253468	47.679010	0.453741	0.425459	32.596702
