crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	69.940773	4250	0.000000
281474976710655.000000	43.647419	4251	0.000000
281474976710655.000000	54.318420	4252	0.000000
281474976710655.000000	69.260162	4253	0.000000
281474976710655.000000	41.262615	4254	0.000000
281474976710655.000000	53.340679	4255	0.000000
281474976710655.000000	51.720448	4256	0.000000
281474976710655.000000	51.700600	4257	0.000000
281474976710655.000000	50.071438	4258	0.000000
281474976710655.000000	45.944092	4259	0.000000
281474976710655.000000	50.643982	4260	0.000000
281474976710655.000000	42.844788	4261	0.000000
281474976710655.000000	41.266228	4262	0.000000
281474976710655.000000	49.184258	4263	0.000000
281474976710655.000000	46.746120	4264	0.000000
281474976710655.000000	56.564827	4265	0.000000
281474976710655.000000	47.949570	4266	0.000000
281474976710655.000000	44.329418	4267	0.000000
281474976710655.000000	34.419830	4268	0.000000
281474976710655.000000	48.615170	4269	0.000000
281474976710655.000000	46.689507	4270	0.000000
281474976710655.000000	46.799458	4271	0.000000
281474976710655.000000	51.617352	4272	0.000000
281474976710655.000000	44.655300	4273	0.000000
281474976710655.000000	48.011181	4274	0.000000
281474976710655.000000	41.497471	4275	0.000000
281474976710655.000000	44.592945	4276	0.000000
281474976710655.000000	51.744205	4277	0.000000
281474976710655.000000	43.430489	4278	0.000000
281474976710655.000000	48.993111	4279	0.000000
281474976710655.000000	40.729523	4280	0.000000
281474976710655.000000	38.760212	4281	0.000000
281474976710655.000000	44.435390	4282	0.000000
281474976710655.000000	51.738506	4283	0.000000
281474976710655.000000	43.138573	4284	0.000000
281474976710655.000000	59.867783	4285	0.000000
281474976710655.000000	35.317886	4286	0.000000
281474976710655.000000	37.509548	4287	0.000000
281474976710655.000000	39.280724	4288	0.000000
281474976710655.000000	38.501446	4289	0.000000
281474976710655.000000	43.765049	4290	0.000000
281474976710655.000000	39.376240	4291	0.000000
281474976710655.000000	35.989899	4292	0.000000
281474976710655.000000	57.251961	4293	0.000000
281474976710655.000000	38.832104	4294	0.000000
281474976710655.000000	34.383518	4295	0.000000
281474976710655.000000	34.353275	4296	0.000000
281474976710655.000000	37.893703	4297	0.000000
281474976710655.000000	50.857487	4298	0.000000
281474976710655.000000	49.238914	4299	0.000000
281474976710655.000000	33.122753	4300	0.000000
281474976710655.000000	40.687073	4301	0.000000
281474976710655.000000	40.171810	4302	0.000000
281474976710655.000000	34.734573	4303	0.000000
281474976710655.000000	29.451513	4304	0.000000
281474976710655.000000	29.397503	4305	0.000000
281474976710655.000000	31.314880	4306	0.000000
281474976710655.000000	34.432350	4307	0.000000
281474976710655.000000	34.241974	4308	0.000000
281474976710655.000000	31.079165	4309	0.000000
281474976710655.000000	47.020088	4310	0.000000
281474976710655.000000	33.205051	4311	0.000000
281474976710655.000000	43.543697	4312	0.000000
281474976710655.000000	28.962843	4313	0.000000
281474976710655.000000	39.115555	4314	0.000000
281474976710655.000000	36.389988	4315	0.000000
281474976710655.000000	31.549570	4316	0.000000
281474976710655.000000	31.182631	4317	0.000000
281474976710655.000000	42.491211	4318	0.000000
281474976710655.000000	30.085487	4319	0.000000
281474976710655.000000	29.238943	4320	0.000000
281474976710655.000000	42.039658	4321	0.000000
281474976710655.000000	28.424364	4322	0.000000
281474976710655.000000	32.903252	4323	0.000000
281474976710655.000000	28.827015	4324	0.000000
281474976710655.000000	28.142590	4325	0.000000
281474976710655.000000	33.068699	4326	0.000000
281474976710655.000000	29.553841	4327	0.000000
281474976710655.000000	29.232681	4328	0.000000
281474976710655.000000	35.567883	4329	0.000000
281474976710655.000000	30.012362	4330	0.000000
281474976710655.000000	27.224119	4331	0.000000
281474976710655.000000	29.908173	4332	0.000000
281474976710655.000000	28.178379	4333	0.000000
281474976710655.000000	26.144991	4334	0.000000
281474976710655.000000	27.002777	4335	0.000000
281474976710655.000000	25.421093	4336	0.000000
281474976710655.000000	38.124924	4337	0.000000
281474976710655.000000	30.204489	4338	0.000000
281474976710655.000000	25.036648	4339	0.000000
281474976710655.000000	24.851282	4340	0.000000
281474976710655.000000	31.844927	4341	0.000000
281474976710655.000000	36.841248	4342	0.000000
281474976710655.000000	25.040516	4343	0.000000
281474976710655.000000	28.023083	4344	0.000000
281474976710655.000000	29.035215	4345	0.000000
281474976710655.000000	25.783567	4346	0.000000
281474976710655.000000	30.456879	4347	0.000000
281474976710655.000000	33.170837	4348	0.000000
281474976710655.000000	23.172688	4349	0.000000
281474976710655.000000	23.533825	4350	0.000000
281474976710655.000000	24.072630	4351	0.000000
281474976710655.000000	23.649174	4352	0.000000
281474976710655.000000	27.194735	4353	0.000000
281474976710655.000000	23.874739	4354	0.000000
281474976710655.000000	28.982929	4355	0.000000
281474976710655.000000	27.304974	4356	0.000000
281474976710655.000000	27.591644	4357	0.000000
281474976710655.000000	32.179001	4358	0.000000
281474976710655.000000	26.058937	4359	0.000000
281474976710655.000000	22.290392	4360	0.000000
281474976710655.000000	26.244436	4361	0.000000
281474976710655.000000	22.975901	4362	0.000000
281474976710655.000000	25.435593	4363	0.000000
281474976710655.000000	28.559568	4364	0.000000
281474976710655.000000	23.954699	4365	0.000000
281474976710655.000000	23.304190	4366	0.000000
281474976710655.000000	25.646379	4367	0.000000
281474976710655.000000	20.001259	4368	0.000000
281474976710655.000000	22.670916	4369	0.000000
281474976710655.000000	24.243505	4370	0.000000
281474976710655.000000	21.191931	4371	0.000000
281474976710655.000000	23.846243	4372	0.000000
281474976710655.000000	24.768566	4373	0.000000
281474976710655.000000	23.756308	4374	0.000000
281474976710655.000000	21.986296	4375	0.000000
281474976710655.000000	19.742836	4376	0.000000
281474976710655.000000	21.616983	4377	0.000000
281474976710655.000000	21.954550	4378	0.000000
281474976710655.000000	21.535000	4379	0.000000
281474976710655.000000	22.335718	4380	0.000000
281474976710655.000000	20.622328	4381	0.000000
281474976710655.000000	19.342291	4382	0.000000
281474976710655.000000	21.546938	4383	0.000000
281474976710655.000000	20.286335	4384	0.000000
281474976710655.000000	21.547869	4385	0.000000
281474976710655.000000	20.262117	4386	0.000000
281474976710655.000000	19.778797	4387	0.000000
281474976710655.000000	22.417387	4388	0.000000
281474976710655.000000	21.472017	4389	0.000000
281474976710655.000000	20.526756	4390	0.000000
281474976710655.000000	21.172342	4391	0.000000
281474976710655.000000	19.343063	4392	0.000000
281474976710655.000000	20.616566	4393	0.000000
281474976710655.000000	20.034140	4394	0.000000
281474976710655.000000	17.390059	4395	0.000000
281474976710655.000000	21.207798	4396	0.000000
281474976710655.000000	20.651606	4397	0.000000
281474976710655.000000	19.367636	4398	0.000000
281474976710655.000000	18.874691	4399	0.000000
281474976710655.000000	18.875439	4400	0.000000
281474976710655.000000	18.118982	4401	0.000000
281474976710655.000000	18.698185	4402	0.000000
281474976710655.000000	19.158527	4403	0.000000
281474976710655.000000	18.431450	4404	0.000000
281474976710655.000000	18.507421	4405	0.000000
281474976710655.000000	17.567554	4406	0.000000
281474976710655.000000	18.302401	4407	0.000000
281474976710655.000000	17.205194	4408	0.000000
281474976710655.000000	18.463715	4409	0.000000
281474976710655.000000	18.270926	4410	0.000000
281474976710655.000000	17.856667	4411	0.000000
281474976710655.000000	17.837244	4412	0.000000
281474976710655.000000	17.519308	4413	0.000000
281474976710655.000000	16.907978	4414	0.000000
281474976710655.000000	16.793697	4415	0.000000
281474976710655.000000	17.330620	4416	0.000000
281474976710655.000000	16.667746	4417	0.000000
281474976710655.000000	16.471720	4418	0.000000
281474976710655.000000	16.676264	4419	0.000000
281474976710655.000000	17.018200	4420	0.000000
281474976710655.000000	16.455454	4421	0.000000
281474976710655.000000	16.820408	4422	0.000000
281474976710655.000000	17.157455	4423	0.000000
281474976710655.000000	15.924090	4424	0.000000
281474976710655.000000	16.425940	4425	0.000000
281474976710655.000000	15.894787	4426	0.000000
281474976710655.000000	15.596926	4427	0.000000
281474976710655.000000	15.885805	4428	0.000000
281474976710655.000000	15.468760	4429	0.000000
281474976710655.000000	15.332630	4430	0.000000
281474976710655.000000	15.902804	4431	0.000000
281474976710655.000000	14.942874	4432	0.000000
281474976710655.000000	14.821796	4433	0.000000
281474976710655.000000	15.063271	4434	0.000000
281474976710655.000000	14.816124	4435	0.000000
281474976710655.000000	14.419636	4436	0.000000
281474976710655.000000	14.539479	4437	0.000000
281474976710655.000000	14.803030	4438	0.000000
281474976710655.000000	14.387786	4439	0.000000
281474976710655.000000	14.045813	4440	0.000000
281474976710655.000000	14.254974	4441	0.000000
281474976710655.000000	13.599146	4442	0.000000
281474976710655.000000	13.653979	4443	0.000000
281474976710655.000000	13.711632	4444	0.000000
