num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4247	79724.212197	60.857251	0.234957	0.547254	59.246337
4251	79728.339445	38.244169	1.986613	0.541244	52.636553
4255	79732.465752	59.200978	0.275136	0.546776	48.613151
4257	79734.527879	59.013099	0.288726	0.546644	54.240337
4259	79736.593269	58.481080	0.304034	0.546032	47.281899
4261	79738.656080	57.813085	0.293720	0.546989	50.068794
4263	79740.720076	57.691866	0.311555	0.546490	48.704029
4265	79742.784063	57.351365	0.339327	0.546429	48.050162
4267	79744.849053	56.726632	0.316379	0.547114	48.511149
4269	79746.912753	56.577553	0.312092	0.548179	46.616129
4271	79748.976853	56.054654	0.290121	0.549674	44.776572
4273	79751.040225	55.836031	0.271186	0.548907	45.742335
4275	79753.103384	55.413347	0.286252	0.547047	45.731434
4277	79755.165312	55.091260	0.280997	0.544422	44.709583
4279	79757.228649	54.971062	0.286262	0.543198	44.437566
4281	79759.290904	54.197403	0.305298	0.543418	42.483009
4283	79761.354238	53.896229	0.306442	0.543326	44.021216
4287	79765.483407	53.168160	0.316702	0.543320	42.468601
4289	79767.548069	52.730174	0.321827	0.544525	40.696087
4291	79769.612718	52.176368	0.335069	0.545272	40.769919
4293	79771.676763	52.003293	0.353009	0.545602	39.866152
4295	79773.740518	51.796715	0.350060	0.546049	40.124246
4297	79775.803905	51.303636	0.339354	0.545828	38.151499
4299	79777.867432	51.009071	0.375686	0.544923	38.392975
4301	79779.931073	50.660718	0.377002	0.544278	37.186819
4303	79781.994851	50.438737	0.396964	0.544427	37.486967
4305	79784.057841	50.152655	0.406238	0.543620	36.808968
4307	79786.121498	49.717048	0.410183	0.543752	36.072362
4309	79788.185769	49.323915	0.415543	0.543299	36.634486
4311	79790.249595	48.972066	0.425983	0.542928	35.093389
4313	79792.312506	48.767924	0.444275	0.542537	34.530175
4315	79794.375228	48.162003	0.446403	0.541565	34.849446
4317	79796.437229	48.038755	0.452334	0.541649	34.655180
4319	79798.499077	47.960578	0.475280	0.543813	33.148831
4321	79800.562313	47.420032	0.464348	0.545492	32.673219
4323	79802.624712	47.122113	0.457724	0.547214	33.596876
4325	79804.688420	46.758715	0.458139	0.547025	32.821013
4327	79806.752712	46.214220	0.470739	0.545039	32.347602
4329	79808.818015	45.629826	0.476609	0.543298	30.058584
4331	79810.883142	45.588466	0.490994	0.541582	30.951018
4333	79812.947698	45.413171	0.493638	0.542050	31.319456
4335	79815.011398	45.230210	0.512074	0.541845	29.340972
4337	79817.075238	44.719748	0.515098	0.542438	30.203061
4339	79819.138704	44.373540	0.523525	0.542432	30.260025
4341	79821.201766	43.938950	0.513463	0.543374	29.026018
4343	79823.265062	44.065045	0.535010	0.542843	29.038210
4345	79825.329105	43.438749	0.534867	0.542854	28.479173
4347	79827.392212	43.172486	0.556352	0.543089	27.696796
4349	79829.455830	42.717266	0.548518	0.543454	27.701797
