num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3385	4150.992340	57.064505	-1.621508	0.539348	66.935318
3387	4153.062701	55.282334	-1.645914	0.536335	56.996251
3389	4155.131148	53.412828	-1.629100	0.535963	52.732233
3391	4157.200155	51.334821	-1.628027	0.534121	52.069597
3393	4159.272551	49.339986	-1.623200	0.533341	49.178839
3395	4161.344364	47.541354	-1.638620	0.535114	45.907646
3397	4163.417618	45.810863	-1.603272	0.537601	42.077572
3399	4165.490333	44.475036	-1.631022	0.539454	38.268793
3401	4167.559131	43.069622	-1.637607	0.539025	38.518743
3403	4169.627933	41.446539	-1.652632	0.535225	33.340733
3405	4171.691399	40.186179	-1.646881	0.531782	30.305360
3407	4173.756874	38.575050	-1.620328	0.529815	29.081968
3409	4175.821352	37.133166	-1.594594	0.529122	28.909769
3411	4177.888070	35.758741	-1.551173	0.529331	26.581041
3413	4179.956578	34.486919	-1.519578	0.530057	25.365110
3415	4182.027520	33.077217	-1.508794	0.530860	22.349891
3417	4184.097400	31.845395	-1.489512	0.529508	20.585862
3419	4186.171001	30.593121	-1.485541	0.525565	19.506233
3421	4188.245741	29.459757	-1.462965	0.521405	17.267419
3423	4190.318482	28.519780	-1.436128	0.515069	17.206034
3425	4192.388541	27.430175	-1.365355	0.518426	15.690138
3427	4194.457001	26.404534	-1.326568	0.516364	13.803113
3429	4196.521165	25.304835	-1.281297	0.512967	12.890241
3431	4198.585094	24.369698	-1.245993	0.518126	12.471161
3433	4200.648824	23.462591	-1.234505	0.520974	11.070064
3435	4202.713197	22.433314	-1.199614	0.519985	10.243146
3437	4204.780672	21.537604	-1.159692	0.521289	9.553428
3439	4206.851112	20.679749	-1.153569	0.518697	8.723292
3441	4208.923020	19.955331	-1.091789	0.516377	7.412715
3443	4210.993831	19.175457	-1.063494	0.518781	7.671577
3445	4213.069762	18.447460	-1.054125	0.525586	6.849353
3447	4215.140516	17.781429	-1.027197	0.526048	6.839345
3449	4217.212620	17.240465	-1.026887	0.527449	6.492937
3453	4221.343369	16.042301	-0.981967	0.520945	5.244113
3455	4223.404783	15.553475	-0.943121	0.521013	4.631020
3457	4225.462050	14.866734	-0.916156	0.522252	3.800679
