num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3365	78758.154480	59.480570	-0.712938	3.698148	58.614506
3367	78760.220491	59.008393	-0.702781	3.698293	50.314815
3369	78762.284461	58.497354	-0.702128	3.697639	57.188708
3371	78764.348351	58.022104	-0.673282	3.697403	49.891999
3373	78766.413093	57.451595	-0.659246	3.698551	52.967045
3375	78768.476628	57.351341	-0.648772	3.699079	48.391749
3377	78770.541000	56.429006	-0.646623	3.701034	49.825568
3379	78772.605884	56.165770	-0.651757	3.701136	48.638958
3381	78774.670570	55.578189	-0.612353	3.699989	49.727753
3383	78776.736034	54.926270	-0.624070	3.698071	46.307528
3385	78778.802754	54.405313	-0.589654	3.695927	47.032236
3387	78780.867714	53.913305	-0.606513	3.695540	47.574444
3389	78782.934113	53.808331	-0.592167	3.695633	43.349660
3391	78784.998468	53.654141	-0.588904	3.694153	45.230210
3393	78787.062956	52.982511	-0.556262	3.694826	42.494288
3395	78789.126101	52.616216	-0.551258	3.695545	43.036252
3397	78791.189274	51.933009	-0.538659	3.696351	42.149891
3399	78793.252805	51.995731	-0.540992	3.697392	41.949717
3401	78795.317340	51.245557	-0.532751	3.698572	40.878077
3403	78797.381491	50.665920	-0.529959	3.698650	41.537686
3405	78799.446884	50.243827	-0.514042	3.697021	39.609599
3407	78801.511375	49.859829	-0.493477	3.695993	39.015733
3409	78803.576192	49.452649	-0.501142	3.695605	37.701365
3411	78805.641267	48.802931	-0.477190	3.695022	38.811270
3413	78807.704959	48.457077	-0.476291	3.694725	37.416868
3415	78809.769531	47.982959	-0.461929	3.694458	36.273576
3417	78811.834382	47.741062	-0.433457	3.693380	36.434371
3419	78813.898413	47.443222	-0.415443	3.692808	37.188711
3421	78815.964234	47.165657	-0.421618	3.691957	34.443413
3423	78818.029454	46.629166	-0.408285	3.691315	33.278702
3425	78820.095369	46.115532	-0.393030	3.691655	34.434943
3427	78822.161438	45.674481	-0.379161	3.692575	32.235654
3429	78824.226828	45.457587	-0.377330	3.694803	33.138302
3431	78826.292524	44.921197	-0.364827	3.696587	32.450276
3433	78828.356882	44.802176	-0.388901	3.694997	31.877702
3435	78830.420800	44.391413	-0.342156	3.692973	31.318542
3437	78832.483362	43.939801	-0.337893	3.690509	29.787999
3439	78834.546520	43.570723	-0.287960	3.688938	29.801237
3441	78836.610814	43.202423	-0.285288	3.689410	30.496834
3443	78838.673822	42.862364	-0.278645	3.689986	29.734692
3445	78840.737862	42.519353	-0.269072	3.689377	29.117233
3447	78842.802210	42.135770	-0.247010	3.689413	29.762318
3449	78844.866502	41.725866	-0.255705	3.690004	27.393107
3451	78846.931731	41.504500	-0.233367	3.689149	27.526794
3453	78848.995702	41.035182	-0.242137	3.689446	26.712696
3455	78851.060318	40.665874	-0.233049	3.689728	26.460683
3457	78853.124715	40.327296	-0.227739	3.690298	26.429941
3459	78855.189141	40.225407	-0.221266	3.690738	26.049628
3461	78857.253959	39.506155	-0.214308	3.690662	24.977415
3463	78859.318975	39.239993	-0.191767	3.688598	24.734178
3465	78861.384272	38.924693	-0.186784	3.688114	25.388846
3467	78863.450098	38.416358	-0.176343	3.687009	24.038339
3469	78865.515824	38.219341	-0.162606	3.685840	23.327040
3471	78867.581015	37.875162	-0.153936	3.685992	22.777756
3473	78869.647026	37.599520	-0.125429	3.686137	23.023369
3475	78871.711842	37.286130	-0.118907	3.684813	22.710101
3477	78873.776107	37.154631	-0.119104	3.685458	22.091012
3479	78875.838237	36.798349	-0.111263	3.685357	21.522169
3481	78877.901933	36.491311	-0.110109	3.686262	21.715958
3483	78879.965296	36.009379	-0.116523	3.684643	20.234284
3485	78882.027853	35.834506	-0.107258	3.685793	20.519270
3487	78884.092269	35.394110	-0.105850	3.686255	20.658665
3489	78886.156026	35.153761	-0.096877	3.686125	20.278557
3491	78888.220376	34.999446	-0.079050	3.685039	19.823904
3493	78890.283625	34.591899	-0.089735	3.686031	19.581415
3495	78892.348446	34.130213	-0.078223	3.684205	18.341792
3497	78894.413534	33.894628	-0.056243	3.683679	18.327369
3499	78896.476857	33.748794	-0.060167	3.681830	18.311307
3501	78898.542424	33.536094	-0.057806	3.681126	17.450208
3503	78900.606546	33.010643	-0.043737	3.681441	17.676490
